"","Overall"
"n","17"
"Type (%)",""
"   Autoimmune Hepatitis","2 (11.8)"
"   Diarrhea","1 (5.9)"
"   Endocrine Disorder","7 (41.2)"
"   Skin Toxicity","7 (41.2)"
"Grade (%)",""
"   1","6 (35.3)"
"   2","9 (52.9)"
"   3","2 (11.8)"
