"effect","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj","pres"
"fixed","ResponseResponder:Days",0.00407854012768182,0.00718171340925717,42,0.56790627741071,0.573122288321006,"f__Sutterellaceae","ZIGMM",1,74
"fixed","ResponseResponder:I(Days^2)",-3.4049310649672e-05,5.90506587545349e-05,42,-0.576611867976106,0.56727936333231,"f__Sutterellaceae","ZIGMM",1,74
"fixed","ResponseResponder",-2.47594842585806,3.1122819621384,40,-0.795541167535115,0.430994551014505,"f__Oscillospiraceae","GMM",1,88
"fixed","ResponseResponder:Days",-0.00428982971079683,0.101981626977511,42,-0.0420647310494744,0.966646437526249,"f__Oscillospiraceae","GMM",1,88
"fixed","ResponseResponder:I(Days^2)",0.000258132948065728,0.000842509913076687,42,0.306385650850178,0.760824782236789,"f__Oscillospiraceae","GMM",1,88
"fixed","ResponseResponder",0.397744004848719,0.219997640636202,40,1.80794668387579,0.0781382565360642,"f__Coriobacteriaceae","ZIGMM",1,68
"fixed","ResponseResponder:Days",-0.00971944420513837,0.00882309610993835,42,-1.10159110634535,0.276912530558809,"f__Coriobacteriaceae","ZIGMM",1,68
"fixed","ResponseResponder:I(Days^2)",4.90203944610028e-05,7.35610548255393e-05,42,0.666390586394686,0.508805654150922,"f__Coriobacteriaceae","ZIGMM",1,68
"fixed","ResponseResponder",0.0762991819994825,0.125036862196545,40,0.610213505514463,0.545171878949294,"f__Desulfovibrionaceae","ZIGMM",1,71
"fixed","ResponseResponder:Days",-0.00160102005919907,0.00359487407505199,42,-0.445361930842018,0.658345370903516,"f__Desulfovibrionaceae","ZIGMM",1,71
"fixed","ResponseResponder:I(Days^2)",1.49946358711689e-05,2.95703218255079e-05,42,0.507083959371531,0.614748147753776,"f__Desulfovibrionaceae","ZIGMM",1,71
"fixed","ResponseResponder",-0.563151233966125,1.14604354992018,40,-0.491387289780872,0.625838146296791,"f__Odoribacteraceae","ZIGMM",1,72
"fixed","ResponseResponder:Days",-0.00341526172187428,0.0182247721678362,42,-0.187396675822465,0.852252014130386,"f__Odoribacteraceae","ZIGMM",1,72
"fixed","ResponseResponder:I(Days^2)",0.000109975963902355,0.000147386562281325,42,0.746173614474012,0.459718870103299,"f__Odoribacteraceae","ZIGMM",1,72
"fixed","ResponseResponder",0.167605721381515,0.519686432503659,40,0.322513175058376,0.748743699968094,"f__Streptococcaceae","ZIGMM",1,67
"fixed","ResponseResponder:Days",0.00766233591647536,0.0119436781470009,42,0.641539048705813,0.524658404663668,"f__Streptococcaceae","ZIGMM",1,67
"fixed","ResponseResponder:I(Days^2)",-4.0395140970452e-05,9.76698385677412e-05,42,-0.413588693938867,0.681279659240501,"f__Streptococcaceae","ZIGMM",1,67
"fixed","ResponseResponder",0.440941032182608,0.262033529876653,40,1.68276568418619,0.100211567367278,"f__Firmicutes_unclassified","ZIGMM",1,72
"fixed","ResponseResponder:Days",-0.0104467500604788,0.012486732801624,42,-0.836627981590198,0.407536794140947,"f__Firmicutes_unclassified","ZIGMM",1,72
"fixed","ResponseResponder:I(Days^2)",6.80196354370715e-06,0.00010459429573363,42,0.0650318786124789,0.948457175363205,"f__Firmicutes_unclassified","ZIGMM",1,72
