"effect","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj"
"fixed","irAE.sample",-0.0539959522828804,0.0708223679260988,45,-0.762413822977843,0.449791078059113,"s__Lacrimispora_amygdalina","ZIGMM",1
"fixed","irAE.sample",0.191046942087779,0.082285261098193,45,2.32176381940136,0.0248305420963529,"s__Evtepia_gabavorous","ZIGMM",1
"fixed","irAE.sample",-0.0156770431733714,0.0112577117086162,45,-1.39256036920654,0.170595787870782,"s__Hydrogenoanaerobacterium_SGB53821","ZIGMM",1
"fixed","irAE.sample",0.490268518721438,0.695497691304097,45,0.704917535818352,0.484494305999859,"s__Bacteroides_cellulosilyticus","ZIGMM",1
"fixed","irAE.sample",-0.0890638819219286,0.367199342345523,45,-0.242549132449486,0.809456801221644,"s__Anaerobutyricum_soehngenii","ZIGMM",1
"fixed","irAE.sample",0.000949984015341048,0.0169051961769642,45,0.056194793919963,0.955435401479348,"s__Eubacterium_ventriosum","ZIGMM",1
"fixed","irAE.sample",0.0165571191191582,0.0120983422310197,45,1.36854445038811,0.177935635801544,"s__Dorea_sp_AF36_15AT","ZIGMM",1
"fixed","irAE.sample",-0.015610591020363,0.0324473604537804,45,-0.481105113083066,0.632772939736126,"s__Intestinibacter_bartlettii","ZIGMM",1
"fixed","irAE.sample",-0.0441360272152703,0.395818005136848,45,-0.11150586037644,0.911711103050612,"s__Gemmiger_formicilis","ZIGMM",1
"fixed","irAE.sample",0.165403326775966,0.0808027571614106,45,2.04700102554123,0.0465242033479695,"s__Mediterraneibacter_faecis","ZIGMM",1
"fixed","irAE.sample",0.103560499626557,0.100396894143709,45,1.0315109895563,0.307813528848033,"s__Simiaoa_sunii","ZIGMM",1
"fixed","irAE.sample",0.00485005919365605,0.00221543276083252,45,2.18921525374278,0.0338089308682926,"s__GGB3057_SGB71294","ZIGMM",1
"fixed","irAE.sample",-0.0234712666048244,0.0319329249198739,45,-0.735017749351759,0.46614215827524,"s__Anaerotignum_faecicola","ZIGMM",1
"fixed","irAE.sample",-0.0261345301414258,0.0457246254109836,45,-0.571563570100848,0.570461710244387,"s__Lachnospiraceae_bacterium_CLA_AA_H244","ZIGMM",1
"fixed","irAE.sample",-0.0246373389035232,0.0556716609253126,45,-0.442547222303569,0.660213207695507,"s__Blautia_SGB4815","ZIGMM",1
"fixed","irAE.sample",-0.0562207593710475,0.0300477216916687,45,-1.87104899159911,0.0678489125173424,"s__Desulfovibrio_fairfieldensis","ZIGMM",1
"fixed","irAE.sample",0.0963691400118786,0.0345126539494902,45,2.79228424892842,0.00765642828851634,"s__Clostridium_sp_AF20_17LB","ZIGMM",1
"fixed","irAE.sample",-0.00105882191587319,0.00628573924601432,45,-0.168448272260828,0.866985481799854,"s__GGB9614_SGB15049","ZIGMM",1
"fixed","irAE.sample",0.0641956315902367,0.193023145206997,45,0.332579968694394,0.740995759419993,"c__CFGB658","ZIGMM",1
"fixed","irAE.sample",-0.285065908557903,0.395350513767951,45,-0.721046005077967,0.474610760874301,"c__CFGB4806","ZIGMM",1
"fixed","irAE.sample",-0.498906745189853,1.30014238177239,45,-0.383732391301426,0.702983926775461,"c__CFGB343","ZIGMM",1
"fixed","irAE.sample",0.177896344494482,0.35507986017607,45,0.50100375843978,0.618810438439799,"c__CFGB1354","ZIGMM",1
"fixed","irAE.sample",-0.0458581621401096,0.0603601636930153,45,-0.759742176534491,0.451370693967627,"c__CFGB1458","ZIGMM",1
"fixed","irAE.sample",-0.0704483699037144,0.23990211531749,45,-0.293654642479838,0.770371961639991,"c__CFGB4405","ZIGMM",1
"fixed","irAE.sample",-0.093907153004153,0.0704636670872548,45,-1.33270317719724,0.189338224779877,"c__CFGB3062","ZIGMM",1
"fixed","irAE.sample",-1.74279660118118,0.739235278207994,45,-2.35756687019315,0.0228035133280761,"c__CFGB2982","ZIGMM",1
"fixed","irAE.sample",-0.00278573880559512,0.00704425579583648,45,-0.395462471314803,0.694370208439065,"c__CFGB2880","ZIGMM",1
"fixed","irAE.sample",-0.0885476642718985,0.293612627403578,45,-0.301579891351837,0.764361646676145,"c__CFGB38642","ZIGMM",1
"fixed","irAE.sample",0.00745340579273401,0.0141182912835246,45,0.527925486381755,0.600144811633926,"c__CFGB3023","ZIGMM",1
"fixed","irAE.sample",0.0429447686432184,0.0290917229080309,45,1.47618512588552,0.14685810452885,"c__CFGB3070","ZIGMM",1
"fixed","irAE.sample",-0.0316684263884661,0.211938664779776,45,-0.149422600266792,0.881887855272454,"c__CFGB3054","ZIGMM",1
"fixed","irAE.sample",-0.00496960833389766,0.00625487238722279,45,-0.794517941572937,0.431064360493967,"c__CFGB1258","ZIGMM",1
"fixed","irAE.sample",-0.0254028703676063,0.0637124856933411,45,-0.398711023297296,0.69199184534694,"c__CFGB72924","ZIGMM",1
"fixed","irAE.sample",-0.0066727352769224,0.00678457536479213,45,-0.983515536071702,0.330612385141366,"c__CFGB1473","ZIGMM",1
"fixed","irAE.sample",-0.00110008820537729,0.00220451981818361,45,-0.499014885828378,0.620199727973894,"c__CFGB2881","ZIGMM",1
"fixed","irAE.sample",0.00735719378515285,0.0149987595816572,45,0.490520149022882,0.626149302743712,"c__CFGB2834","ZIGMM",1
"fixed","irAE.sample",-0.0224297715728219,0.0405754279189254,45,-0.552791990700363,0.583141618306222,"c__CFGB3038","ZIGMM",1
"fixed","irAE.sample",-0.0185321904530195,0.168488452056218,45,-0.109990864221579,0.912905687432768,"c__CFGB79294","ZIGMM",1
"fixed","irAE.sample",0.00088749544082834,0.00313669297168271,45,0.282939850613506,0.778520449185035,"c__CFGB1211","ZIGMM",1
"fixed","irAE.sample",-0.189125774675053,0.192944592777843,45,-0.980207695650808,0.332224287617101,"c__CFGB1227","ZIGMM",1
"fixed","irAE.sample",0.00474930872740272,0.00213658946079339,45,2.22284571488953,0.0312935765093105,"c__CFGB2954","ZIGMM",1
"fixed","irAE.sample",-0.00153367160757651,0.00209767102822749,45,-0.73113066202399,0.468489469576224,"c__CFGB79291","ZIGMM",1
"fixed","irAE.sample",-0.00173841270388527,0.00193432457613046,45,-0.89871820134907,0.373586644688269,"c__CFGB83839","ZIGMM",1
"fixed","irAE.sample",-0.000194149374487831,0.0011350465934494,45,-0.171049695764306,0.864951512392264,"c__CFGB32970","ZIGMM",1
"fixed","irAE.sample",-0.00289494030923827,0.00553476584274705,45,-0.523046573511669,0.603507936521961,"c__CFGB1359","ZIGMM",1
"fixed","irAE.sample",0.0641956315902367,0.193023145206997,45,0.332579968694394,0.740995759419993,"o__OFGB658","ZIGMM",1
