ADORA2A,AHR,B3GAT1,BCL6,BTLA,C10orf54,CCR4,CCR6,CD127,CD160,CD200R1,CD244,CD27,CD274,CD276,CD28,CD3D,CD3E,CD4,CD45RO,CD45RA,CD45RB,CD80,CD86,CD8A,CD96,CDKN1B,CDKN2A_ARF,CDKN2A_p16,CEACAM1,CTLA4,CXCR3,EGR1,EOMES,FOXO1,FOXP3,GATA3,GRAIL,GZMB,HAVCR2,IFNG,IL-10,IL-17A,IL-2,IL-21,IL-4,IL2RA,IL6,ITCH,KIR_Activating_Subgroup_1,KIR_Activating_Subgroup_2,KIR_Inhibiting_Subgroup_1,KIR_Inhibiting_Subgroup_2,KLRG1,LAG3,NECTIN2,PDCD1,PDCD1LG2,PRDM1,PVR,PVRIG,RORA,RORC,RUNX3,SPI1,SPN,TBX21,TGFB1,TIGIT,TNF,TNFRSF14,TNFRSF18,VTCN1,ZBTB7B,GUSB,HPRT1,PGK1,UBC,YWHAZ,toxicity
-0.121662441,0.463894542,-0.365128095,0.436070744,0.348363636,0.216497722,1.192002369,-0.336025382,0.251545535,-1.242829256,1.100542803,0.008563009,1.657911152,3.066218464,1.302395883,0.242394473,0.809876118,1.039416335,0.614324539,0.383089232,0.361159358,0.44022514,-0.099591757,-1.781889203,0.688316813,0.834383226,0.232236556,1.668963768,0.073495883,-0.30696393,0.606561526,0.243615235,-0.184004117,0.036987329,0.363620951,1.023198839,1.153428114,1.63523607,0.548200415,-0.043197449,-0.489204117,2.065495883,2.695786988,0.81703607,0.533334406,0.714191153,0.190596356,0.396394889,-0.5019067,1.910836338,2.206786761,0.706860503,1.150688271,-0.587178204,0.736470744,0.423471905,-1.088086327,-0.029328095,-0.012702905,0.280234406,-0.788028663,0.601912891,0.050665051,0.418223505,0.688048115,0.759678184,-0.427631049,0.233418135,0.542898839,0.555797597,-0.218537362,0.379065051,-0.28894657,0.499093549,0.406451423,0.858678764,1.289454532,0.384401617,1.384713372,NA
-3.102089397,2.470645576,-1.482369649,4.094352152,-1.247015333,0.674629287,1.312086938,-0.352461302,-1.874917563,-0.853984134,-0.319330507,-0.752399186,-0.629492333,0.137050482,0.996900895,0.076389583,-0.129655234,0.231079366,-1.412791597,-2.448541224,1.457326544,-2.474797923,1.085664265,-0.564769649,-0.109080536,-0.325247446,0.258042073,1.146612326,-0.975546634,0.64213086,0.465947508,0.923851588,-2.460769649,-2.144146634,0.135468901,-0.430518539,1.655965086,1.604492852,0.548399548,0.639585811,0.020269493,1.971195883,4.05468398,0.279070489,0.445253366,1.872984667,-3.21196914,1.672105325,0.636565976,1.199745449,2.180762984,-0.237329511,-0.165746634,-0.693615333,0.005008288,2.450162984,-2.093989397,-0.698569649,0.440865976,1.422510603,-0.536809917,2.305810018,-0.124218539,2.304121595,3.578053391,-0.968385912,-0.658827282,1.884050732,-1.282015333,2.480365976,-0.632225115,0.910701733,0.931592852,-1.011880652,0.233980578,-0.249410417,1.615614119,1.307384362,1.413861713,FALSE
-0.953152953,0.788896613,1.098430716,1.274840966,0.169980334,0.822996812,0.096879192,-0.301095159,0.136967961,0.432495081,0.708412331,1.252303782,1.199578169,2.135225564,3.648540966,0.236029538,0.554881791,0.890588033,1.08382232,-0.324732964,1.603593878,-0.179273032,-1.777570045,1.663686234,-0.199952429,0.775695976,0.258333569,0.891901848,-1.068769284,0.634786234,0.868049362,-0.5573553,0.11130615,-0.352139587,0.38848049,0.660380334,0.591019802,-0.203275195,1.572564882,1.642212331,-0.34229385,0.960027036,0.9140447,-0.143969284,-0.230680847,0.404427036,-0.040515,1.227267868,-0.104398058,3.201223247,3.610770935,2.637248735,2.600123578,-0.013330437,0.640904193,0.839589537,-2.345144869,0.570028794,0.134094418,2.140228794,-0.812724313,0.949083122,0.575212331,0.90081812,3.90955348,0.954179611,0.610460275,0.345206292,0.073149638,0.466750711,-0.342318157,0.861389699,1.287219153,0.532152554,0.742686861,0.332228857,1.294351397,0.670396192,1.28126032,NA
-1.051664798,1.086334036,-0.280328969,1.167953411,0.049364237,0.243776789,1.499111549,0.748236359,-0.351777966,-0.163505744,1.22701205,0.65128722,0.751106169,0.927947385,0.800102962,0.839826572,0.41177092,0.568890933,0.746741247,-0.128074358,0.771951984,-0.595312762,0.193294165,-0.63012987,-0.58849197,0.718459296,0.147543625,0.922664582,-1.133531586,1.998490516,1.521369076,0.097130066,2.538915349,-1.540332163,-0.094521215,0.998143444,0.548422371,-0.7894,0.218395819,0.663339718,0.387197755,1.85886548,3.287357757,-1.253957001,1.257655293,2.714003772,0.759859987,1.481643744,-0.075226117,0.02177013,-0.903028969,0.538702962,0.13937013,0.098078785,0.394282146,1.369924689,-1.416831586,-0.376528969,0.413365536,1.156588069,-0.678605304,1.539748438,0.616987168,0.572738102,3.121194696,0.724179847,-0.324518494,0.367719484,0.264916749,0.866584865,-0.483367161,0.810617467,1.19177013,0.31666299,0.730368478,0.282736444,1.506901789,0.490351493,1.311589685,FALSE
-1.370108277,0.842616544,-0.248203536,0.903180594,0.349790051,0.277702511,1.454964165,0.446894516,-0.05717024,0.685001167,0.705040195,0.35557644,1.087881823,1.499376109,0.802058965,0.066384409,0.676182464,0.889921417,0.971579261,-0.060754749,1.126278055,-0.629262443,-1.130103536,0.626596464,-0.210218967,0.728118077,0.207931178,1.153974159,-0.227539425,0.280232105,0.772829857,-0.110731578,2.192336954,-0.900973113,-0.264107036,0.829647758,0.543368247,-0.4546,-0.17601054,-0.267684069,-1.35978514,0.349933824,2.819972222,-2.3582,-1.316024107,1.277151386,0.728537979,-0.236678468,-0.507790279,-2.092924107,-2.8063,0.002496464,-0.357017778,-0.12375652,0.020270274,1.029932105,-0.977151717,-0.239266176,0.184659886,1.83798629,-0.924149134,1.072708597,0.470831993,0.7734892,2.03298337,0.536023401,-0.367268463,0.373166798,-0.073518137,0.377456757,-0.482366688,1.105797644,0.195875893,0.458754292,0.678979271,0.383996187,1.457624432,0.42158699,1.378849466,FALSE
-0.902970749,0.493516987,0.085533861,0.757063657,0.992863209,0.418128357,1.402573599,0.088891752,0.540385613,1.011762657,1.587446223,1.780694032,1.181733611,3.547291715,1.359979839,0.221256679,0.604117529,0.870015071,0.479516502,0.479548385,-0.234067225,-0.603082285,-0.796366139,0.961901156,-1.120047441,0.897698102,-0.523487186,2.914071365,2.259329251,0.722979839,0.847794321,-0.095167917,0.422715928,-1.040247902,-0.320640033,0.380426158,0.120616269,0.747033861,-0.969659267,0.960020374,0.237763657,1.948541414,4.576531997,-0.156566139,0.433001156,3.559930641,0.058213726,0.347495335,-0.167546502,-0.758414289,-1.604666139,0.337801156,-0.605714289,1.188556215,0.052587319,1.249541414,-1.169428149,0.360385711,0.299156078,1.314901156,-0.261221417,1.13070291,0.365356078,0.064350077,1.844456078,0.508172909,-0.577940836,-0.180284372,0.522151448,0.815229251,-0.795273787,0.155463657,0.943333861,0.835631755,0.235328135,0.794297856,1.126855325,0.784241512,1.38025155,TRUE
-0.77208866,0.915955813,-0.512793162,1.304503025,0.752286313,0.689267629,0.932467406,0.558219374,0.33564501,0.762984968,1.28002735,1.680038181,1.185945607,2.998097466,3.384411236,0.632070505,0.469467465,0.734881329,0.698077378,0.077801028,2.66417734,-0.954860877,0.953368414,1.489099395,-0.477327338,1.022694484,-0.22161003,3.38262555,2.37767683,1.317423758,1.085012797,0.295715766,2.694947593,-0.255254508,-0.380062405,0.894869798,0.394075207,1.507806838,-0.098172618,1.479582431,1.381757621,1.627348735,4.249178344,-0.757593162,0.430424805,0.961572428,0.261886411,1.374077372,0.182819442,0.003373595,0.467872428,0.494272428,-0.585601163,0.628430555,-0.007410931,0.581524805,-0.70145068,0.375794119,0.489993469,2.544762207,-1.029423378,1.443958563,0.150085579,0.701294927,3.683443031,1.201979379,-0.482753571,0.211150728,1.177973543,1.025552948,-0.590884234,0.72169512,1.634198837,1.011734838,0.189495503,0.471378367,1.431379149,0.764553735,1.4633441,FALSE
-0.686045518,0.968021075,0.244887647,0.816695112,0.624933921,0.304592067,1.953305617,0.420194416,0.573609562,-0.872952407,1.359559677,0.873900554,1.108018478,2.14694521,0.4590253,0.61787603,0.23922252,0.650024362,0.383925233,0.716256511,0.426499419,-0.020869927,-0.211514289,0.355087647,0.423660767,0.867685377,-0.663235341,0.780453182,-1.839547347,0.407441414,0.71251462,0.213112141,0.837547593,0.143033921,-0.545564171,0.134498547,1.119404394,-0.29480437,-0.165900267,-0.021740323,0.692428794,-0.77070437,3.233643602,-0.726602824,0.413359677,2.089787771,0.44996506,0.831198083,-0.415220466,-0.205140323,-0.280312353,-0.061314289,0.392649265,0.874718362,0.758844856,0.481585711,-0.497877823,0.140952653,0.447297039,0.474323138,-0.320822757,1.488642034,0.769925297,0.631080979,1.342443652,0.791626731,-0.105996525,0.286173056,0.447884676,0.817182322,-0.620889251,-0.025827284,0.944287647,0.543514872,0.644310749,0.438426947,1.270475608,0.671517959,1.298472704,NA
-1.047019201,0.332750538,2.573611467,0.695139236,0.506423381,0.317389724,0.400196523,-0.747478195,0.056215601,0.328075543,0.701251247,0.719218723,0.913043576,1.20940315,-0.01581716,-0.117638372,0.545632171,0.936533905,0.479519452,-0.223106891,1.695565565,0.228413308,-0.045166434,0.770651341,0.413171167,0.877817985,-1.404213373,1.831056016,0.336411467,0.686465239,0.545838919,-1.155962091,1.096777081,0.513877085,-0.59814246,0.269930331,-0.122605057,1.227095163,2.87492257,0.959999202,0.142106211,0.633534922,2.949857942,-0.557624571,-0.476112353,0.615431081,-0.251460438,2.184601861,-0.368133115,3.102886957,2.469309251,1.084365239,0.244944619,1.61160405,0.871214275,0.361733566,-0.359519449,-0.260212353,1.11895004,1.667117249,-0.482884571,1.046268109,-1.615168919,1.394663492,1.719084306,0.892293635,1.103623798,0.211678597,0.453975984,-0.00486816,-0.441134609,-0.403192953,0.841442999,0.512144917,0.614152552,0.300264383,1.360371671,0.516653706,1.529094957,FALSE
-0.812745239,0.400847961,1.191945742,1.231966565,0.432009057,0.618609193,0.468055705,-0.160814753,0.168969341,0.970200624,0.547049772,-0.480851184,0.846204729,-1.56013259,0.132658656,0.137347747,0.648269807,1.182439689,0.819447575,0.002033454,1.422853386,0.41403742,-0.417554516,1.034645742,1.162855924,1.119703225,-1.053152039,-2.412480056,-1.162901268,1.040945742,0.527459307,0.834087629,2.448173256,0.893834323,-0.593438562,-0.079044295,0.056579186,2.458158656,1.554628161,-0.011191757,0.114780193,0.141368431,-0.380354258,-0.787054516,-0.781931569,-0.084054258,-0.934254258,-0.532224397,-0.816524015,-0.578620276,-0.844131569,0.586675893,0.755503583,1.79356665,1.242449768,0.424979724,-0.367399336,0.071745484,1.048572015,1.116779724,-0.000571458,1.697422722,-0.321254258,1.610737959,2.094266565,1.16274983,1.205299404,0.771739948,0.328626576,0.671727844,-0.219473975,0.37848008,-0.252031569,0.869526576,0.43142975,0.118399988,1.37386831,0.66462995,1.732335992,NA
-1.29097945,-0.023086061,2.083196178,1.123119866,-0.400389382,-0.041720404,-0.309141322,-0.8179982,-0.626575639,1.650936752,0.320832631,1.879654042,0.505666119,2.365821609,3.451511763,-0.41092945,0.63341737,0.6294458,-0.090436155,-0.156114969,1.158928103,0.546458965,-0.699712353,1.918987584,1.38518264,0.472202986,-1.241340196,2.004855706,0.366122548,-1.387261606,0.194016349,0.634598034,3.508967667,0.044284285,-0.479771447,-0.998481957,0.160339594,0.035887584,3.076737362,0.985696509,-0.505612416,1.821015928,2.739592431,-0.220061606,-0.419112353,1.590784285,-1.333205709,2.130368531,-0.146327499,3.841503009,4.570096408,2.962992456,3.081774373,0.701359804,1.850415392,0.847538394,-1.273105313,1.170887584,-0.2007125,1.036215679,-1.247410938,1.003103766,-0.58695363,1.559120924,2.971945438,0.939998686,1.563540528,0.698186815,0.328071163,1.578460557,-0.45891151,0.057854956,0.632338394,0.582332174,0.151296408,0.681362985,1.365229215,0.574052073,1.552421627,NA
-1.275678198,0.491575823,0.195883388,0.634553759,0.482798552,0.271889206,0.809251096,-0.563381052,0.332669981,-0.377933635,0.676859302,0.905145856,1.274085694,1.228147445,0.312239703,0.17991199,0.560692969,0.876693973,0.592835029,-0.280597096,0.627512871,-0.177114016,0.188766545,-0.347544707,0.594365969,0.868016128,0.4376854,1.50991767,-0.344941869,0.087711092,0.771716583,-0.966952637,1.826203088,0.082930716,-0.38614284,0.257310838,0.440158863,1.479517794,0.209920819,0.750607645,-1.453633455,1.461711092,2.567018605,-1.370844707,1.231547774,1.859010059,0.210081245,0.374917576,-0.607956773,-0.439533455,-0.883744707,0.844193371,0.970432466,0.011418638,0.713567152,0.705111092,-1.782399511,-2.654244707,0.506212498,1.065397848,-1.616077779,1.015078115,0.226697755,0.828308461,2.114447131,0.410143745,-0.147419956,0.038788779,0.326376361,-0.13291196,-0.572922784,0.082412978,-0.203444707,0.325138997,0.32572632,0.392947363,1.458345858,0.646341631,1.496734438,NA
-0.76978968,0.303323647,-0.74105619,0.737468928,0.443266861,0.719529568,0.800158276,0.623742228,0.336207999,0.729375655,0.977379032,1.254569194,1.440176437,1.57098746,1.485580492,0.391520323,0.724800744,0.786117591,0.702840831,0.177396366,0.785712935,0.045036964,-0.224703675,1.433851247,-0.246440355,0.735821477,-0.029070432,0.352619496,-0.765441174,0.626721327,0.374440867,-1.142331569,-0.048420273,-0.043613142,-0.088275268,0.192336719,0.015085333,1.058996325,0.742097769,0.401215003,-0.800775643,1.663386912,1.093936715,-1.563203675,-2.7597,0.965055587,-0.051266646,-0.146118434,-0.469835018,-1.39196393,-1.37875619,-0.086503675,-0.417816402,0.817156323,-0.034147461,0.115545484,-1.366420273,-1.467403675,0.859850365,1.560986912,-0.879445276,0.963642968,0.553054865,0.586106581,2.793736715,0.723907822,-0.453051696,0.117140707,0.400028768,-0.503157001,-0.14575354,-1.625078673,0.06634381,0.159985577,0.526872428,0.554545173,1.479703913,0.334180884,1.426385268,TRUE
-0.821359034,1.303278496,-1.618340593,0.571513011,0.363292762,0.330782885,1.17963218,0.435250605,0.210566245,0.015089926,1.215149087,1.152545787,1.0748785,1.525217792,1.168871905,0.469383347,0.134028064,0.622273114,0.940927222,0.532097405,0.324486638,0.004571566,0.429885273,-0.492093827,-0.388301632,0.58654855,-0.481193569,2.135896863,-0.102928095,1.170279853,1.364349648,-0.440255525,2.647387423,-0.071466405,-0.606176465,0.983718747,0.562989074,-0.914440593,0.714664277,0.728621947,0.160986912,1.148773543,2.561480943,-0.05047294,0.943871905,2.070570479,0.933846897,-0.058644536,-0.590685224,1.517689697,-1.547144707,0.040873543,-0.389726457,0.875160688,0.51614063,2.143515964,0.099538439,0.642785273,0.974526665,1.264957771,-0.465656299,1.299438497,0.261181974,0.5032842,2.38211855,1.021586742,-0.07662752,0.209661375,0.875518155,0.763663314,-0.397977865,1.364040011,0.386448591,0.715692371,0.591633855,0.438048887,1.23153255,0.624861487,1.437310963,FALSE
-1.418763663,0.815790014,0.501571319,0.977459854,0.169402684,-0.07049344,1.605174266,0.03521989,-0.219750098,-0.091545683,0.774496268,1.468004291,0.479793245,2.205716404,3.160375329,0.519787587,0.477885927,0.704921225,0.534325271,0.453677631,0.206659942,0.236237309,-1.056441554,0.145758446,0.11447277,0.611269913,-0.618805388,1.269634193,-0.333163106,-0.675793495,0.228212924,0.386807271,2.143724887,-1.518232278,-0.252081225,0.721241417,0.5399339,0.583836894,1.121132111,0.464977946,-1.278841554,1.941209884,0.909663506,0.269371319,0.029906505,1.028267722,-0.205304285,2.73766189,-0.463044337,0.006036894,1.058871319,-0.576263106,-0.121632975,0.199755663,0.472402696,1.074436894,-0.890512077,-0.016130507,0.40934936,1.027418731,-0.981513431,1.200059942,-0.394359554,0.761082965,2.106630621,0.560229779,-0.158470998,0.53707039,0.038887923,1.459479853,-0.409446824,0.951706911,1.121771319,0.020755663,0.17457145,0.812533585,1.385342695,0.481920268,1.469908015,FALSE
