"mouse","group","date","days","weight"
"C5M1","vehicle","2022-08-12",10,18.2
"C5M1","vehicle","2022-08-16",14,18.5
"C5M1","vehicle","2022-08-19",17,18.9
"C5M1","vehicle","2022-08-23",21,19.4
"C5M1","vehicle","2022-08-25",23,19
"C5M1","vehicle","2022-08-26",24,18.8
"C5M1","vehicle","2022-08-28",26,18.9
"C5M1","vehicle","2022-08-30",28,18.8
"C5M1","vehicle","2022-09-01",30,19.5
"C5M1","vehicle","2022-09-02",31,19.7
"C5M1","vehicle","2022-09-04",33,19.6
"C5M1","vehicle","2022-09-06",35,20.1
"C5M1","vehicle","2022-09-09",38,19.9
"C5M1","vehicle","2022-09-11",40,19.6
"C5M1","vehicle","2022-09-12",41,19.7
"C5M1","vehicle","2022-09-13",42,19.7
"C1M1","IgG2a","2022-08-02",0,18.6
"C1M1","IgG2a","2022-08-06",4,18
"C1M1","IgG2a","2022-08-09",7,18.9
"C1M1","IgG2a","2022-08-12",10,19.1
"C1M1","IgG2a","2022-08-16",14,19.4
"C1M1","IgG2a","2022-08-19",17,19.5
"C1M1","IgG2a","2022-08-23",21,19.5
"C1M1","IgG2a","2022-08-25",23,18.9
"C1M1","IgG2a","2022-08-26",24,19.4
"C1M1","IgG2a","2022-08-28",26,18.6
"C1M1","IgG2a","2022-08-30",28,18.5
"C1M1","IgG2a","2022-09-01",30,18.6
"C1M1","IgG2a","2022-09-02",31,18.7
"C1M1","IgG2a","2022-09-04",33,18.3
"C1M1","IgG2a","2022-09-06",35,18.3
"C1M1","IgG2a","2022-09-09",38,18.4
"C1M1","IgG2a","2022-09-11",40,18.2
"C1M1","IgG2a","2022-09-12",41,18.1
"C1M1","IgG2a","2022-09-13",42,18.2
"C1M2","IgG2a","2022-08-02",0,19
"C1M2","IgG2a","2022-08-06",4,18.9
"C1M2","IgG2a","2022-08-09",7,19.6
"C1M2","IgG2a","2022-08-12",10,19
"C1M2","IgG2a","2022-08-16",14,19
"C1M2","IgG2a","2022-08-19",17,18.2
"C1M2","IgG2a","2022-08-23",21,18.6
"C1M2","IgG2a","2022-08-25",23,18.3
"C1M2","IgG2a","2022-08-26",24,17.7
"C1M2","IgG2a","2022-08-28",26,17.7
"C1M2","IgG2a","2022-08-30",28,17.8
"C1M2","IgG2a","2022-09-01",30,17.6
"C1M2","IgG2a","2022-09-02",31,17.7
"C1M2","IgG2a","2022-09-04",33,17.9
"C1M2","IgG2a","2022-09-06",35,18.1
"C1M2","IgG2a","2022-09-09",38,17.9
"C1M2","IgG2a","2022-09-11",40,18.1
"C1M2","IgG2a","2022-09-12",41,17.8
"C1M2","IgG2a","2022-09-13",42,18.2
"C1M3","IgG2a","2022-08-02",0,18.4
"C1M3","IgG2a","2022-08-06",4,18.1
"C1M3","IgG2a","2022-08-09",7,19.6
"C1M3","IgG2a","2022-08-12",10,19.5
"C1M3","IgG2a","2022-08-16",14,19.3
"C1M3","IgG2a","2022-08-19",17,19.3
"C1M3","IgG2a","2022-08-23",21,19.8
"C1M3","IgG2a","2022-08-25",23,19
"C1M3","IgG2a","2022-08-26",24,18.8
"C1M3","IgG2a","2022-08-28",26,18.9
"C1M3","IgG2a","2022-08-30",28,18.8
"C1M3","IgG2a","2022-09-01",30,18.7
"C1M3","IgG2a","2022-09-02",31,19.4
"C1M3","IgG2a","2022-09-04",33,19.1
"C1M3","IgG2a","2022-09-06",35,19.3
"C1M3","IgG2a","2022-09-09",38,19.2
"C1M3","IgG2a","2022-09-11",40,19
"C1M3","IgG2a","2022-09-12",41,18.6
"C1M3","IgG2a","2022-09-13",42,19
"C1M4","IgG2a","2022-08-02",0,18
"C1M4","IgG2a","2022-08-06",4,17.2
"C1M4","IgG2a","2022-08-09",7,18
"C1M4","IgG2a","2022-08-12",10,18.4
"C1M4","IgG2a","2022-08-16",14,18.4
"C1M4","IgG2a","2022-08-19",17,18.1
"C1M4","IgG2a","2022-08-23",21,17.7
"C1M4","IgG2a","2022-08-25",23,17.7
"C1M4","IgG2a","2022-08-26",24,18
"C1M4","IgG2a","2022-08-28",26,16.8
"C1M4","IgG2a","2022-08-30",28,17.1
"C1M4","IgG2a","2022-09-01",30,16.9
"C1M4","IgG2a","2022-09-02",31,17
"C1M4","IgG2a","2022-09-04",33,16.7
"C1M4","IgG2a","2022-09-06",35,16.9
"C1M4","IgG2a","2022-09-09",38,16.8
"C1M4","IgG2a","2022-09-11",40,16.6
"C1M4","IgG2a","2022-09-12",41,16.6
"C1M4","IgG2a","2022-09-13",42,16.9
"C6M1","IgG2a","2022-08-02",0,17.8
"C6M1","IgG2a","2022-08-06",4,17.9
"C6M1","IgG2a","2022-08-09",7,18
"C6M1","IgG2a","2022-08-12",10,18.4
"C6M1","IgG2a","2022-08-16",14,18.9
"C6M1","IgG2a","2022-08-19",17,18.7
"C6M1","IgG2a","2022-08-23",21,19
"C6M1","IgG2a","2022-08-25",23,18.4
"C6M1","IgG2a","2022-08-26",24,17.7
"C6M1","IgG2a","2022-08-28",26,18
"C6M1","IgG2a","2022-08-30",28,18.6
"C6M1","IgG2a","2022-09-01",30,18.7
"C6M1","IgG2a","2022-09-02",31,18
"C6M1","IgG2a","2022-09-04",33,18.1
"C6M1","IgG2a","2022-09-06",35,18.7
"C6M1","IgG2a","2022-09-09",38,18.3
"C6M1","IgG2a","2022-09-11",40,18.2
"C6M1","IgG2a","2022-09-12",41,18.1
"C6M1","IgG2a","2022-09-13",42,18.3
"C6M4","IgG2a","2022-08-02",0,18.9
"C6M4","IgG2a","2022-08-06",4,19
"C6M4","IgG2a","2022-08-09",7,19.7
"C6M4","IgG2a","2022-08-12",10,19.2
"C6M4","IgG2a","2022-08-16",14,20.1
"C6M4","IgG2a","2022-08-19",17,20.6
"C6M4","IgG2a","2022-08-23",21,20.1
"C6M4","IgG2a","2022-08-25",23,19.6
"C6M4","IgG2a","2022-08-26",24,18.8
"C6M4","IgG2a","2022-08-28",26,18.7
"C6M4","IgG2a","2022-08-30",28,19.4
"C6M4","IgG2a","2022-09-01",30,19.5
"C6M4","IgG2a","2022-09-02",31,19
"C6M4","IgG2a","2022-09-04",33,18.7
"C6M4","IgG2a","2022-09-06",35,19.7
"C6M4","IgG2a","2022-09-09",38,19.3
"C6M4","IgG2a","2022-09-11",40,19.6
"C6M4","IgG2a","2022-09-12",41,19
"C6M4","IgG2a","2022-09-13",42,19.4
