"sample","s__Salmonella_virus_Jersey","s__Eubacterium_sp_CAG_274","s__Desulfovibrio_piger","s__Escherichia_virus_phi1","s__Bacteroides_intestinalis","f__Enterococcaceae","s__Phascolarctobacterium_succinatutens","s__Bacteroides_salyersiae","s__Clostridium_disporicum","s__Clostridium_sp_CAG_299"
"FF08034968",0,0,0,0,0,0,0.63826,0,0,0
"FF08035006",0,0,0,0,0.02191,0,0,0,0,0
"FF08035019",0,0,0,0,0,0,0,0,0,0
"FF08037435",0,0,0,0,0,0,0.8,0.79178,0.09325,0
"FF08037452",0,0.0215,0,0,0.32984,0,0,0,0.39971,0
"FF08037511",0,0,0,0,0,0,0,0,0,0
"FF08037524",0,0,0.47092,0,0,0,0,0.09036,0.01083,0
"FF08037529",0,0,0,0,0,0.02647,0,0,0,0
"FF08037549",0,0,0.79197,0,0,0,0,0,0,0.10059
"FF08037557",0,0,0,0,0,0,1.90173,0.56562,0,0
"FF08037585",0,0,0,0,0,0,0,0,0,0
"FF08037593",0,0,0,0,0.81557,0,0,0,0.49578,0.1675
"FF08037623",0,0,0,0,1.15808,0,0,0,0.41017,0.0167
"FF08037629",0,0,0,0,0.06395,0,0,0,1.3126,0
"FF08037657",0,0,0,0,0,0,0,0,0,0
"FF08037683",0,0,0,0,1.05483,0,0,0,0.11617,0.52154
"FF08037732",0,0,0,0,1.45294,0.37256,0,0,0,0
"FF08037743",0,0,0,0,0,0,1.19235,1.94945,0.16107,0
"FF08037772",0,0,0,0,0,0,0,0,0,0
"FF08037786",0,0,0,0,0,0,0,0,0.00404,0
"FF08037807",0,0,0,0,0.00464,0,0.76194,0.2464,0.15721,0.00181
"FF08037834",0,0,0,0,0.6692,0,0,0,0,0.06237
"FF08037861",0,0.51699,0,0,0,0,0,0,0,0
"FF08037872",0,0,0,0,0,1.30696,0,0,0,0
"FF08037907",0,0,0,0,0.11758,0.03149,1.07065,0.6381,0,0
