"Tcell.Senescence","MDSC #"
-0.379720061866034,"MDSC-104B"
0.462587409118353,"MDSC-108B"
-0.264242044659638,"MDSC-112"
0.217263082819986,"MDSC-122"
1.26339860755605,"MDSC-152B"
-0.269007863349932,"MDSC-161"
-0.109411987469336,"MDSC-162"
-0.688074825038585,"MDSC-173"
0.202745592854491,"MDSC-177"
-0.230108097808639,"MDSC-180"
1.11605203295292,"MDSC-182"
0.617852885913638,"MDSC-191B"
-0.173380888888761,"MDSC-194B"
-0.180015845533541,"MDSC-195"
-0.0319764554483614,"MDSC-202"
0.496239987270147,"MDSC-236"
0.593968924649018,"MDSC-267"
0.242718039524011,"MDSC-273"
1.07547265419116,"MDSC-282"
0.393454173241412,"MDSC-287"
-0.599648182452656,"MDSC-294"
-0.414495165844582,"MDSC-297"
0.161392816646538,"MDSC-299"
0.536992611365529,"MDSC-300"
-1.16705738075457,"MDSC-304"
-0.161567574670849,"MDSC-306"
-0.127080056225101,"MDSC-307B"
-0.444493931315193,"MDSC-308"
0.0755855113954908,"MDSC-311"
0.633034540158544,"MDSC-312B"
-0.740477294334127,"MDSC-314"
0.676238046863892,"MDSC-316"
-0.532034463983563,"MDSC-318B"
-0.158853243434026,"MDSC-319"
0.181203474095879,"MDSC-320"
0.47804116616465,"MDSC-325B"
0.490858344062466,"MDSC-326"
-0.136836556517298,"MDSC-327"
-0.985698687532754,"MDSC-336"
0.0559603638590768,"MDSC-339"
0.0116467555715561,"MDSC-340"
0.467950715702279,"MDSC-344"
0.0652625743739938,"MDSC-346"
0.407718829427291,"MDSC-350"
0.034959139793054,"MDSC-351"
-0.667574962634479,"MDSC-352"
0.475303703488458,"MDSC-353"
-0.442582926047222,"MDSC-355"
0.0187357385723196,"MDSC-357"
0.0398400861464973,"MDSC-358"
0.0749999902197071,"MDSC-360"
1.05332036843914,"MDSC-362"
-0.035404751638942,"MDSC-363"
0.609529817909586,"MDSC-364"
-0.625798110401654,"MDSC-365"
1.30077670802268,"MDSC-366"
0.26565293775287,"MDSC-367"
-2.04881614514995,"MDSC-375"
0.262812931743899,"MDSC-380"
0.173528208574603,"MDSC-381"
-0.390927339341063,"MDSC-382"
-0.424424509661331,"MDSC-383"
0.656970164676679,"MDSC-385"
0.658347514571314,"MDSC-385B"
-0.417670313143996,"MDSC-386"
0.828533780290241,"MDSC-387"
-0.65688310271052,"MDSC-388"
-0.066704086501835,"MDSC-389"
-0.435845068792055,"MDSC-390"
-0.316713005524205,"MDSC-392"
-0.81070744748533,"MDSC-393"
-0.334305146746098,"MDSC-395"
-0.325621613134013,"MDSC-396"
-0.172905688588952,"MDSC-397"
0.218268223576154,"MDSC-397B"
0.0961063866166918,"MDSC-398"
-0.694666793556501,"MDSC-399"
-0.42291897586372,"MDSC-400"
-0.361803945438992,"MDSC-401"
-0.923006143891596,"MDSC-402"
-0.922450769099422,"MDSC-403"
0.0693958277631718,"MDSC-404"
-0.26338495963031,"MDSC-405B"
-0.451764068201265,"MDSC-406"
-1.40965661689496,"MDSC-413"
0.436006792871225,"MDSC-416"
1.01755480893473,"MDSC-417"
-0.319079578025103,"MDSC-418"
0.00488632393798671,"MDSC-419"
-0.137256146793104,"MDSC-420"
0.743758388107777,"MDSC-421"
0.412766493777774,"MDSC-422"
-0.460978437831334,"MDSC-423"
-0.0097722219676875,"MDSC-425"
-0.374019234774863,"MDSC-426"
-0.402863196416708,"MDSC-428"
-0.330253682261998,"MDSC-430"
0.0854958395938161,"MDSC-431"
-0.214269464605112,"MDSC-433"
-0.808515682902244,"MDSC-434"
-0.645159900614808,"MDSC-435"
-0.0193824938179244,"MDSC-436"
0.616399112961498,"MDSC-437"
-1.50240578040351,"MDSC-438"
-0.0446812086539132,"MDSC-439"
0.166019629831608,"MDSC-440"
-0.161689774209581,"MDSC-442"
-0.535275097137183,"MDSC-443"
-0.118079274085824,"MDSC-444"
-0.1600323697024,"MDSC-445"
-0.157581321587688,"MDSC-446"
0.426084754499147,"MDSC-447"
-1.29240858488027,"MDSC-448"
-0.126614696863432,"MDSC-449"
-0.46223742590559,"MDSC-450"
0.109332311555831,"MDSC-451"
0.0691561418292387,"MDSC-452"
-0.09350051778586,"MDSC-453"
-0.234449911636368,"MDSC-454"
-1.47020941588266,"MDSC-455"
0.264529013214559,"MDSC-456"
-0.314983636397739,"MDSC-457"
0.777526049635444,"MDSC-459"
-0.374745771444149,"MDSC-460"
-0.926696219699841,"MDSC-461"
-1.31035351784762,"MDSC-462"
-0.260930179203927,"MDSC-463"
-0.188418464809247,"MDSC-464"
-1.05913452199047,"MDSC-465"
0.629111984616325,"MDSC-466"
-1.32945531958326,"MDSC-467"
-1.02319547963073,"MDSC-469"
0.470160013175505,"MDSC-470"
-1.65231404168107,"MDSC-471"
0.368628086765746,"MDSC-472"
-0.539115784585588,"MDSC-473"
-1.83224389230313,"MDSC-474"
-0.33855554217771,"MDSC-475"
-0.127785672436554,"MDSC-476"
-1.24680574869328,"MDSC-477"
-0.10670055405794,"MDSC-480"
-0.871018862855023,"MDSC-481"
0.233554927363888,"MDSC-482B"
-0.425895227321175,"MDSC-483"
0.77250002320295,"MDSC-484"
-1.90815666479644,"MDSC-485"
-1.27422731997225,"MDSC-486"
0.245918311792314,"MDSC-487"
-0.812480132902531,"MDSC-488"
-0.735181315752846,"MDSC-489"
0.206790063703554,"MDSC-490"
-1.13544004617428,"MDSC-493"
0.73772131861931,"MDSC-494"
1.32427902040199,"MDSC-495"
-0.08611336297015,"MDSC-497"
-0.300738944951263,"MDSC-498"
1.07974869698067,"MDSC-499"
-0.0103160161952163,"MDSC-500"
-1.56703256220915,"MDSC-501"
0.389035275343734,"MDSC-502"
-0.108760743872408,"MDSC-503"
-0.116151888694071,"MDSC-504"
-0.536075115995361,"MDSC-505"
0.138964136642493,"MDSC-506"
-1.39313692717211,"MDSC-507"
-0.872217655100421,"MDSC-508"
-1.35387756863107,"MDSC-510"
-1.21099990286638,"MDSC-511"
0.453288063458562,"MDSC-512"
-0.52090325741343,"MDSC-513"
0.18896347406748,"MDSC-514"
0.418186240776391,"MDSC-516"
0.753773396188331,"MDSC-517"
0.668989641705655,"MDSC-518"
0.473133793168864,"MDSC-519"
-1.45393119749719,"MDSC-520"
-0.419494288164121,"MDSC-521"
0.518797169010607,"MDSC-523"
0.670925723618696,"MDSC-524"
-0.304041031194657,"MDSC-100"
1.05988422383019,"MDSC-152"
0.349204142444755,"MDSC-154"
0.667637430939316,"MDSC-156"
1.55501198436449,"MDSC-157"
1.48419837333521,"MDSC-158"
0.29914601477934,"MDSC-159"
1.54802300468634,"MDSC-160"
1.16828593075118,"MDSC-163"
-0.118349652098129,"MDSC-164"
0.161590551508868,"MDSC-165"
0.717409821745957,"MDSC-167"
0.918452068652684,"MDSC-169"
0.999032789404706,"MDSC-171"
1.10151454205738,"MDSC-172"
0.648659513490915,"MDSC-176"
0.926768552166982,"MDSC-179"
0.702431528607662,"MDSC-183"
0.0726084738456532,"MDSC-184"
0.543463367099818,"MDSC-185"
-0.222515543500043,"MDSC-186"
-0.388889522702757,"MDSC-187"
-0.273036378940815,"MDSC-190"
0.716190929600069,"MDSC-191"
0.0947978216154778,"MDSC-197"
1.06642222692489,"MDSC-199"
0.801906124603507,"MDSC-200"
0.969690986445785,"MDSC-201"
0.72792550194117,"MDSC-203"
0.381601667029941,"MDSC-204"
1.25219430153081,"MDSC-206"
1.16407858138812,"MDSC-207"
-0.317445414242911,"MDSC-209"
0.426748178978653,"MDSC-210"
0.796034965194723,"MDSC-213"
-0.447777012157133,"MDSC-214"
0.803678380195171,"MDSC-218"
-0.806100979884679,"MDSC-219"
0.0759414934491561,"MDSC-224"
-0.586227880699779,"MDSC-228"
-0.330165324704831,"MDSC-229"
-0.424151127061613,"MDSC-232"
-0.593902257044504,"MDSC-233"
-0.362771803046866,"MDSC-235"
-0.166411868024859,"MDSC-239"
0.0391322556432426,"MDSC-242"
0.0936237476716808,"MDSC-245"
-0.459677423878444,"MDSC-247"
0.236436469565192,"MDSC-249"
0.264312618877113,"MDSC-250"
0.199972132110642,"MDSC-251"
0.114890248406146,"MDSC-252"
-0.00134033093570931,"MDSC-253"
-0.0531271462236275,"MDSC-254"
-0.325083774438624,"MDSC-255"
-0.967116990628033,"MDSC-256"
0.645020719167172,"MDSC-257"
0.319168840530953,"MDSC-260"
0.769711765691444,"MDSC-261"
-0.514177891841832,"MDSC-269"
0.758437437574404,"MDSC-270"
0.352461094284331,"MDSC-271"
0.570276328929378,"MDSC-272"
0.220602917163439,"MDSC-275"
0.162120186195707,"MDSC-277"
-0.306324729737811,"MDSC-278"
0.166769909413637,"MDSC-279"
-0.237989590974275,"MDSC-280"
-0.0644537279673912,"MDSC-281"
1.45959398229717,"MDSC-283"
0.307707853684955,"MDSC-284"
0.61767908940761,"MDSC-286"
-0.500872515893369,"MDSC-288"
-0.14822758247624,"MDSC-290"
0.183007586716277,"MDSC-292"
0.401846347590227,"MDSC-295"
0.162359471484264,"MDSC-296"
-0.265881348008719,"MDSC-298"
0.229057430766717,"MDSC-301"
0.331990560165735,"MDSC-302"
0.653376136254905,"MDSC-303"
0.241365026027161,"MDSC-307"
0.135848350124386,"MDSC-309​"
0.42210461373983,"MDSC-310"
0.643556569709751,"MDSC-312"
0.0816972714773823,"MDSC-313"
-0.197058820683354,"MDSC-315"
-0.20439372168571,"MDSC-317"
0.00465610547955077,"MDSC-321"
0.472348263642765,"MDSC-322"
0.248645127509569,"MDSC-323"
-0.512980876968115,"MDSC-324"
0.11225522180461,"MDSC-328"
0.799520872631909,"MDSC-329"
-0.160934817194231,"MDSC-330"
0.46864333667526,"MDSC-331"
-0.133556470914918,"MDSC-332"
0.327404194328311,"MDSC-333"
0.29066572425585,"MDSC-334"
0.993921639477099,"MDSC-335"
-0.729643613584229,"MDSC-337"
-0.0421724526065336,"MDSC-338"
0.0682909976714277,"MDSC-342"
-0.167134454200859,"MDSC-343"
0.171232334100582,"MDSC-71"
