Taxonomy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold,level
g__Proteobacteria_unclassified,4.514833647,-0.793137611,1.243437154,-0.637859025,0.523565453,0.999999943,FALSE,genus
g__Pseudoflavonifractor,0.166343696,-0.629226156,2.268024493,-0.277433581,0.7814472,0.999999943,FALSE,genus
g__Pseudomonas,0,NA,NA,NA,NA,NA,NA,genus
g__Pyramidobacter,0,NA,NA,NA,NA,NA,NA,genus
g__Rb49virus,0.136913102,-0.568678139,3.454214944,-0.164633107,0.869232771,0.999999943,FALSE,genus
g__Retroviridae_unclassified,0.14673099,-0.12806134,1.907873402,-0.067122556,0.946484137,0.999999943,FALSE,genus
g__Romboutsia,0,NA,NA,NA,NA,NA,NA,genus
g__Roseburia,39.26641715,-1.584322419,0.549096484,-2.885326105,0.003910084,0.08667353,FALSE,genus
g__Rothia,0,NA,NA,NA,NA,NA,NA,genus
g__Ruminococcaceae_unclassified,29.17820771,-1.556348738,0.812046225,-1.916576532,0.055291752,0.579162795,FALSE,genus
g__Ruminococcus,53.61295528,1.126607437,0.866439452,1.300272552,0.193507572,0.974982056,FALSE,genus
g__Ruthenibacterium,12.83891171,-1.175792688,0.694301771,-1.693489397,0.090362351,0.667677375,FALSE,genus
g__Sanguibacteroides,0.032710187,0.422422367,3.453667149,0.122311256,0.902652518,0.999999943,FALSE,genus
g__Sellimonas,0.746367011,0.377679329,1.359677178,0.277771323,0.781187906,0.999999943,FALSE,genus
g__Senegalimassilia,0,NA,NA,NA,NA,NA,NA,genus
g__Sfi11virus,0.077497982,-0.083283757,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Sfi21dt1virus,0.580471178,-0.097050897,1.569504706,-0.061835365,0.95069394,0.999999943,FALSE,genus
g__Siphoviridae_unclassified,3.651964645,-0.850940822,0.644163191,-1.321001935,0.186500719,0.974982056,FALSE,genus
g__Sk1virus,0.079728985,0.172641367,3.454028658,0.04998261,0.960136246,0.999999943,FALSE,genus
g__Slackia,0.44801466,2.728733177,1.600280729,1.705159055,0.088164764,0.667677375,FALSE,genus
g__Streptococcus,15.12153046,-2.986261385,0.734673895,-4.064744104,4.81E-05,0.004543222,TRUE,genus
g__Subdoligranulum,1.323832513,-1.964757528,1.820528511,-1.079223707,0.280488014,0.999999943,FALSE,genus
g__Sutterella,0.732696175,-2.529240195,2.773609713,-0.911894771,0.361824114,0.999999943,FALSE,genus
g__T5virus,0,NA,NA,NA,NA,NA,NA,genus
g__Terrisporobacter,0,NA,NA,NA,NA,NA,NA,genus
g__Turicibacter,0.049930128,0.154932984,3.179610213,0.048727037,0.961136829,0.999999943,FALSE,genus
g__Turicimonas,0.284823097,-1.25307159,1.60334053,-0.781538024,0.434486122,0.999999943,FALSE,genus
g__Tyzzerella,0.469938676,-1.700213562,2.027000472,-0.838783012,0.401591085,0.999999943,FALSE,genus
g__Veillonella,0.500153646,-0.260446064,1.673231422,-0.155654538,0.876305334,0.999999943,FALSE,genus
g__Victivallales_unclassified,0,NA,NA,NA,NA,NA,NA,genus
g__Victivallis,0.023249395,-0.083283756,3.454570349,-0.024108282,0.980766237,0.999999943,FALSE,genus
g__Weissella,0.072654358,-0.267240815,3.454470778,-0.077360856,0.93833648,0.999999943,FALSE,genus
s__Abelson_murine_leukemia_virus,1.044084491,-0.040030116,0.350123811,-0.114331317,0.908975158,NA,NA,species
s__Absiella_dolichum,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Acidaminococcus_intestini,5.005539158,-2.18146197,0.532217797,-4.098814401,4.15E-05,0.001133099,TRUE,species
s__Actinomyces_graevenitzii,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Actinomyces_naeslundii,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Actinomyces_odontolyticus,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Actinomyces_oris,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Actinomyces_sp_HMSC035G02,1.03346908,-0.020665275,0.350621517,-0.058938982,0.953000709,NA,NA,species
s__Actinomyces_sp_ICM47,1.033357758,-0.020664943,0.350621155,-0.058938095,0.953001415,NA,NA,species
s__Actinomyces_sp_oral_taxon_181,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Actinomyces_viscosus,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Adlercreutzia_equolifaciens,1.281014551,0.16050493,0.308312811,0.520591179,0.602651596,0.701868627,FALSE,species
s__Adoxophyes_orana_granulovirus,1.03339029,-0.020665041,0.35062126,-0.058938356,0.953001207,NA,NA,species
s__Aeromonas_caviae,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Aeromonas_dhakensis,1.03339029,-0.020665041,0.35062126,-0.058938356,0.953001207,NA,NA,species
s__Agathobaculum_butyriciproducens,2.259433873,-0.44890341,0.320239817,-1.401772628,0.160983155,0.338898807,FALSE,species
s__Akkermansia_muciniphila,16.35884903,1.113164968,0.563650751,1.974919692,0.048277262,0.151163231,FALSE,species
s__Alcelaphine_gammaherpesvirus_1,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Alistipes_finegoldii,18.8356301,-0.454070399,0.492961966,-0.921106353,0.356994904,0.493734684,FALSE,species
s__Alistipes_indistinctus,1.226698019,0.041310934,0.32014785,0.12903705,0.897328332,NA,NA,species
s__Alistipes_inops,1.334226101,0.439616465,0.31324311,1.403435387,0.160487047,0.338898807,FALSE,species
s__Alistipes_obesi,1.3865475,-0.474821695,0.34116046,-1.391784074,0.163987794,0.339528773,FALSE,species
s__Alistipes_onderdonkii,1.345978966,-0.497856309,0.390996718,-1.27330048,0.202911436,0.375621922,FALSE,species
s__Alistipes_putredinis,43.20577423,0.62361307,0.504065624,1.237166433,0.2160253,0.375621922,FALSE,species
s__Alistipes_shahii,4.183934292,0.898839554,0.388314431,2.314720965,0.020628208,0.09162762,FALSE,species
s__Alistipes_timonensis,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Allisonella_histaminiformans,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Alloscardovia_omnicolens,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Anaerofustis_stercorihominis,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Anaeromassilibacillus_sp_An172,1.054863483,-0.059138952,0.349644707,-0.169140133,0.865686418,NA,NA,species
s__Anaeromassilibacillus_sp_An250,1.151900344,0.015657551,0.330691128,0.047347961,0.962235904,NA,NA,species
s__Anaerostipes_caccae,1.15214313,0.162316073,0.322252392,0.503692377,0.614477566,NA,NA,species
s__Anaerostipes_hadrus,6.74336893,0.046997449,0.395732619,0.118760614,0.905465013,0.924833249,FALSE,species
s__Anaerotignum_lactatifermentans,1.506840957,-0.145078292,0.362678516,-0.400018986,0.689142533,0.749757056,FALSE,species
s__Anaerotruncus_colihominis,1.94893255,0.680650133,0.315898146,2.154650608,0.031189186,0.121574172,FALSE,species
s__Anaerotruncus_sp_CAG_528,1.23814147,-0.350376299,0.345108289,-1.015264805,0.309979617,NA,NA,species
s__Asaccharobacter_celatus,1.603620511,-0.199158116,0.314657673,-0.632935832,0.526775548,0.649123417,FALSE,species
s__Azospirillum_sp_47_25,1.033375178,0.063093931,0.345263902,0.182741174,0.855001107,NA,NA,species
s__Azospirillum_sp_CAG_260,1.086906627,0.125285973,0.333179875,0.376031035,0.706893824,NA,NA,species
s__Bacteroides_caccae,15.77864203,0.429841737,0.49046281,0.876400267,0.380812473,0.515852358,FALSE,species
s__Bacteroides_cellulosilyticus,5.997587489,-0.611011958,0.507758564,-1.203351359,0.228840382,0.375621922,FALSE,species
s__Bacteroides_clarus,1.302374861,0.314246316,0.299480208,1.049305787,0.294037403,0.428711023,FALSE,species
s__Bacteroides_coprocola,4.694085068,-2.50440445,0.54872189,-4.564068784,5.02E-06,0.00023957,TRUE,species
s__Bacteroides_coprophilus,2.303658454,1.069987003,0.393783086,2.717198991,0.006583701,0.038749134,TRUE,species
s__Bacteroides_dorei,26.28156155,-2.400542693,0.613284044,-3.914242863,9.07E-05,0.002165184,TRUE,species
s__Bacteroides_eggerthii,23.94974809,-0.068969368,0.580727363,-0.118763765,0.905462517,0.924833249,FALSE,species
s__Bacteroides_faecis,2.874302641,-0.570600229,0.452300613,-1.261550863,0.207110447,0.375621922,FALSE,species
s__Bacteroides_faecis_CAG_32,1.54949365,-0.592078342,0.391361061,-1.512869832,0.130312726,0.303533302,FALSE,species
s__Bacteroides_finegoldii,8.140564728,-0.249519874,0.484750965,-0.514738273,0.606735925,0.702342798,FALSE,species
s__Bacteroides_fluxus,1.696692479,-0.896534033,0.424324343,-2.112850816,0.034613539,0.124739356,FALSE,species
s__Bacteroides_fragilis,4.302731939,0.183292302,0.467167575,0.392348082,0.694801041,0.749757056,FALSE,species
s__Bacteroides_intestinalis,4.955278998,0.677546948,0.473222201,1.431773373,0.15220869,0.338044881,FALSE,species
s__Bacteroides_massiliensis,2.578947027,-1.373145954,0.445331697,-3.083422902,0.002046341,0.021148069,TRUE,species
s__Bacteroides_nordii,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Bacteroides_ovatus,17.6845508,-0.475380229,0.505029692,-0.941291643,0.346555424,0.4883618,FALSE,species
s__Bacteroides_pectinophilus,1.15138435,0.626982137,0.300793478,2.084427299,0.037121317,NA,NA,species
s__Bacteroides_phage_B124_14,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Bacteroides_phage_B40_8,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Bacteroides_plebeius,24.2708986,-0.764779964,0.627200916,-1.21935403,0.22270985,0.375621922,FALSE,species
s__Bacteroides_salyersiae,2.430309832,1.500989415,0.34488168,4.352186563,1.35E-05,0.000514884,TRUE,species
s__Bacteroides_sartorii,1.227057061,0.897096582,0.317232961,2.827879484,0.004685744,NA,NA,species
s__Bacteroides_sp_CAG_144,1.054811223,-0.059138751,0.349644495,-0.169139661,0.86568679,NA,NA,species
s__Bacteroides_sp_CAG_443,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Bacteroides_sp_CAG_770,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Bacteroides_stercorirosoris,1.086991422,-0.11499113,0.348316697,-0.330133842,0.741298833,NA,NA,species
s__Bacteroides_stercoris,25.88529234,-0.898906899,0.593982265,-1.513356462,0.130189138,0.303533302,FALSE,species
s__Bacteroides_thetaiotaomicron,17.95929442,-1.962067306,0.464616173,-4.222985378,2.41E-05,0.000767462,TRUE,species
s__Bacteroides_uniformis,99.5674338,-0.100989504,0.370734102,-0.272404141,0.785311289,0.833302535,FALSE,species
s__Bacteroides_vulgatus,93.16072742,-0.281508703,0.402058245,-0.700168959,0.483821795,0.620201092,FALSE,species
s__Bacteroides_xylanisolvens,5.293816589,-0.224882194,0.452669493,-0.496791141,0.619336343,0.708342764,FALSE,species
s__Barnesiella_intestinihominis,9.678277039,-1.861430127,0.510945459,-3.643109247,0.000269364,0.004287384,TRUE,species
s__Bifidobacterium_adolescentis,4.39171645,-0.983403698,0.46475335,-2.115969038,0.034347441,0.124739356,FALSE,species
s__Bifidobacterium_angulatum,1.011825741,0.018863389,0.351669797,0.053639491,0.957222392,NA,NA,species
s__Bifidobacterium_animalis,1.345376443,-0.419470697,0.392602151,-1.068437083,0.285323397,0.419205914,FALSE,species
s__Bifidobacterium_bifidum,1.776397965,-0.216923695,0.35851637,-0.605059387,0.545139538,0.663195234,FALSE,species
s__Bifidobacterium_catenulatum,1.098135772,-0.133140651,0.347906446,-0.382690957,0.70194892,NA,NA,species
s__Bifidobacterium_dentium,1.334070714,-0.483589671,0.345381281,-1.400161785,0.161464877,0.338898807,FALSE,species
s__Bifidobacterium_kashiwanohense,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Bifidobacterium_longum,4.451999668,-1.038457896,0.452019993,-2.2973716,0.02159758,0.093753133,FALSE,species
s__Bifidobacterium_pseudocatenulatum,2.075765511,0.751131262,0.372117103,2.018534638,0.043535611,0.143367269,FALSE,species
s__Bifidobacterium_pullorum,1.033426417,-0.020665149,0.350621378,-0.058938644,0.953000978,NA,NA,species
s__Bilophila_wadsworthia,1.549764782,-0.02069322,0.299882436,-0.06900444,0.944986085,0.956989907,FALSE,species
s__Blautia_coccoides,1.152654912,0.015662811,0.330730545,0.047358225,0.962227724,NA,NA,species
s__Blautia_hansenii,1.324858982,-0.170088945,0.32383078,-0.525240206,0.599416219,0.701868627,FALSE,species
s__Blautia_hydrogenotrophica,1.843565093,-0.751327364,0.39082166,-1.922430204,0.054551648,0.160641903,FALSE,species
s__Blautia_obeum,9.001751148,-0.780111635,0.405990976,-1.921499937,0.05466871,0.160641903,FALSE,species
s__Blautia_producta,1.238855895,0.53674891,0.29533499,1.817424035,0.06915221,NA,NA,species
s__Blautia_sp,1.065492271,0.163758494,0.334172594,0.490041664,0.624104416,NA,NA,species
s__Blautia_sp_CAG_257,6.70092257,0.608327305,0.484663816,1.255153131,0.209423176,0.375621922,FALSE,species
s__Blautia_sp_CAG_52,2.38652436,-0.892897561,0.419393181,-2.129022602,0.03325239,0.124533462,FALSE,species
s__Blautia_sp_N6H1_15,1.325158268,-0.469850157,0.391502875,-1.200119304,0.23009301,0.375621922,FALSE,species
s__Blautia_wexlerae,7.574708265,-0.15724065,0.450452345,-0.349072775,0.727034675,0.77577443,FALSE,species
s__Butyribacterium_methylotrophicum,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Butyricimonas_sp,1.033357758,-0.020664943,0.350621155,-0.058938095,0.953001415,NA,NA,species
s__Butyricimonas_synergistica,1.205298182,0.003532708,0.324731527,0.010878858,0.991320099,NA,NA,species
s__Butyricimonas_virosa,2.216857788,0.643427796,0.321063114,2.004053929,0.045064284,0.145886071,FALSE,species
s__Butyrivibrio_crossotus,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Butyrivibrio_sp_CAG_318,1.130259818,0.539533346,0.306819948,1.758468928,0.078667754,NA,NA,species
s__Callitrichine_gammaherpesvirus_3,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Campylobacter_concisus,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Campylobacter_gracilis,1.033436309,-0.020665178,0.35062141,-0.058938723,0.953000915,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium,1.04411933,0.12449429,0.339798507,0.3663768,0.714083929,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium_HUM_10,1.086906627,0.125285973,0.333179875,0.376031035,0.706893824,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium_HUM_11,1.086969731,0.20097759,0.328895694,0.611067865,0.541154653,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium_HUM_21,1.033312073,-0.020664805,0.350621006,-0.058937726,0.953001709,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium_HUM_4,1.065607635,0.239970996,0.329932332,0.727333981,0.467021386,NA,NA,species
s__Candidatus_Methanomassiliicoccus_intestinalis,1.11946441,0.493728587,0.31012403,1.592035891,0.11137664,NA,NA,species
s__Candidatus_Stoquefichus_sp_KLE1796,1.400622783,-0.135365996,0.364373781,-0.371503118,0.710262834,0.762135962,FALSE,species
s__Catenibacterium_mitsuokai,1.31324174,0.048197554,0.315546661,0.152743033,0.878600924,0.912086159,FALSE,species
s__Christensenella_minuta,1.044185682,-0.04003046,0.350124025,-0.114332227,0.908974436,NA,NA,species
s__Citrobacter_braakii,1.11917162,0.493720884,0.310139855,1.59192982,0.111400474,NA,NA,species
s__Citrobacter_freundii,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Citrobacter_portucalensis,1.065537956,0.239969993,0.329932071,0.727331514,0.467022897,NA,NA,species
s__Citrobacter_youngae,1.086991422,0.346883529,0.321273932,1.079712653,0.280270158,NA,NA,species
s__Cloacibacillus_evryensis,1.281600663,-0.181404465,0.329731918,-0.550157432,0.582211398,0.690697993,FALSE,species
s__Cloacibacillus_porcorum,1.442242361,-0.618435262,0.411045416,-1.504542412,0.132441762,0.30477562,FALSE,species
s__Clostridiales_bacterium_1_7_47FAA,1.03346908,-0.020665275,0.350621517,-0.058938982,0.953000709,NA,NA,species
s__Clostridiales_bacterium_KLE1615,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridiales_Family_XIII_bacterium,1.033312073,-0.020664805,0.350621006,-0.058937726,0.953001709,NA,NA,species
s__Clostridioides_difficile,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridium_aldenense,1.044274364,0.043466026,0.344744334,0.126081916,0.899667082,NA,NA,species
s__Clostridium_asparagiforme,1.604367503,-0.800056043,0.402080177,-1.989792307,0.046613819,0.148387325,FALSE,species
s__Clostridium_bolteae,1.7123067,-0.149205722,0.312242506,-0.47785205,0.632755512,0.713211857,FALSE,species
s__Clostridium_bolteae_CAG_59,1.184262494,-0.270645328,0.345336168,-0.783715559,0.433207031,NA,NA,species
s__Clostridium_citroniae,1.097978617,-0.133139685,0.34790349,-0.382691431,0.701948569,NA,NA,species
s__Clostridium_clostridioforme,2.704554525,0.057868051,0.402307495,0.14384035,0.885626539,0.914349562,FALSE,species
s__Clostridium_disporicum,1.678191123,-0.401237356,0.349258691,-1.14882569,0.250627864,0.39237641,FALSE,species
s__Clostridium_hiranonis,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridium_hylemonae,1.03339029,-0.020665041,0.35062126,-0.058938356,0.953001207,NA,NA,species
s__Clostridium_innocuum,1.217419144,0.326040622,0.306429526,1.063998716,0.287329281,NA,NA,species
s__Clostridium_lavalense,1.36790548,0.555457449,0.28556772,1.945098869,0.05176308,0.156932512,FALSE,species
s__Clostridium_leptum,1.689627024,-0.412614085,0.334624946,-1.233064331,0.217551764,0.375621922,FALSE,species
s__Clostridium_methylpentosum,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridium_paraputrificum,1.033357758,0.063093757,0.345263859,0.182740694,0.855001484,NA,NA,species
s__Clostridium_perfringens,1.324121701,-0.241511379,0.331366568,-0.728834475,0.466102921,0.601524715,FALSE,species
s__Clostridium_phage_phi24R,1.054776941,-0.059138621,0.349645138,-0.169138979,0.865687326,NA,NA,species
s__Clostridium_phage_phiCP39_O,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridium_phage_phiMMP02,1.044307135,-0.040030869,0.350124621,-0.114333202,0.908973664,NA,NA,species
s__Clostridium_phage_PhiS63,1.044174857,0.043465585,0.344744015,0.126080753,0.899668003,NA,NA,species
s__Clostridium_phage_vB_CpeS_CP51,1.087171503,-0.114992126,0.348315728,-0.330137621,0.741295978,NA,NA,species
s__Clostridium_saccharolyticum,1.141012595,-0.203528665,0.346457484,-0.587456398,0.556897226,NA,NA,species
s__Clostridium_scindens,1.087350083,0.125284612,0.333180762,0.376025949,0.706897605,NA,NA,species
s__Clostridium_sp_44_14,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridium_sp_AF36_4,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridium_sp_AM22_11AC,1.334062043,-0.048234742,0.315942235,-0.152669496,0.878658917,0.912086159,FALSE,species
s__Clostridium_sp_CAG_122,1.257906395,-0.224683756,0.343388114,-0.654314307,0.512909331,0.647261121,FALSE,species
s__Clostridium_sp_CAG_12237_41,1.097448597,-0.133136418,0.347903639,-0.382681878,0.701955653,NA,NA,species
s__Clostridium_sp_CAG_138,1.236663148,-0.350174022,0.358261386,-0.977426079,0.328358257,NA,NA,species
s__Clostridium_sp_CAG_167,1.473685691,0.451440499,0.290451541,1.554271314,0.120119713,0.286785815,FALSE,species
s__Clostridium_sp_CAG_169,1.763608235,-0.814244931,0.402916238,-2.020878916,0.043292301,0.143367269,FALSE,species
s__Clostridium_sp_CAG_217,1.910567153,-1.093837844,0.429206471,-2.548512004,0.010818356,0.059037316,FALSE,species
s__Clostridium_sp_CAG_221,1.065405453,-0.077996974,0.349181497,-0.223370867,0.823246876,NA,NA,species
s__Clostridium_sp_CAG_230,1.033357758,0.063093757,0.345263859,0.182740694,0.855001484,NA,NA,species
s__Clostridium_sp_CAG_242,1.441537489,-0.618356131,0.361760314,-1.70929786,0.087395789,0.231841608,FALSE,species
s__Clostridium_sp_CAG_245,1.076161855,-0.096612442,0.348738809,-0.277033813,0.781754143,NA,NA,species
s__Clostridium_sp_CAG_253,1.527609683,0.170928961,0.355782494,0.480431059,0.630920913,0.713211857,FALSE,species
s__Clostridium_sp_CAG_265,1.065355217,-0.077996751,0.349182501,-0.223369588,0.823247872,NA,NA,species
s__Clostridium_sp_CAG_273,1.097448597,-0.133136418,0.347903639,-0.382681878,0.701955653,NA,NA,species
s__Clostridium_sp_CAG_277,1.033357758,-0.020664943,0.350621155,-0.058938095,0.953001415,NA,NA,species
s__Clostridium_sp_CAG_299,2.154403538,0.02596338,0.390347971,0.066513424,0.946969071,0.956989907,FALSE,species
s__Clostridium_sp_CAG_306,1.033312073,-0.020664805,0.350621006,-0.058937726,0.953001709,NA,NA,species
s__Clostridium_sp_CAG_389,1.108079409,-0.151056962,0.347516375,-0.434675812,0.663797758,NA,NA,species
s__Clostridium_sp_CAG_440,1.300338274,-0.439829893,0.380988994,-1.154442516,0.248318793,0.391974293,FALSE,species
s__Clostridium_sp_CAG_451,1.043993121,-0.040029804,0.350123326,-0.114330584,0.908975739,NA,NA,species
s__Clostridium_sp_CAG_505,1.04410191,0.124494093,0.339798458,0.366376275,0.714084321,NA,NA,species
s__Clostridium_sp_CAG_58,3.744898818,-0.563119546,0.326831565,-1.722965606,0.084894745,0.228378821,FALSE,species
s__Clostridium_sp_CAG_75,2.059845922,-0.817660255,0.433406541,-1.88658956,0.059215552,0.168808514,FALSE,species
s__Clostridium_sp_chh4_2,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Clostridium_spiroforme,1.141072204,0.251310084,0.318848515,0.788180192,0.430591314,NA,NA,species
s__Clostridium_symbiosum,2.04723594,0.205908181,0.335742753,0.613291515,0.539683603,0.660766463,FALSE,species
s__Clostridium_virus_phiC2,1.055158635,0.024100573,0.344243666,0.070010215,0.94418553,NA,NA,species
s__Collinsella_aerofaciens,11.86684632,-0.375361732,0.410428454,-0.914560696,0.3604223,0.493734684,FALSE,species
s__Collinsella_intestinalis,1.259506414,-0.38106793,0.344442189,-1.106333494,0.2685822,0.409512203,FALSE,species
s__Collinsella_massiliensis,1.03339029,0.063094081,0.34526394,0.18274159,0.855000781,NA,NA,species
s__Collinsella_stercoris,1.238236698,-0.350377531,0.344509827,-1.017032036,0.309138189,NA,NA,species
s__Collinsella_tanakaei,1.054811223,0.183387083,0.334699679,0.547915323,0.583750047,NA,NA,species
s__Coprobacillus_cateniformis,1.076607986,-0.096614622,0.348742337,-0.277037261,0.781751495,NA,NA,species
s__Coprobacter_fastidiosus,1.70093231,0.355705848,0.324279845,1.096910131,0.272680679,0.410094565,FALSE,species
s__Coprobacter_secundus,1.033357758,0.063093757,0.345263859,0.182740694,0.855001484,NA,NA,species
s__Coprobacter_sp,1.248268683,0.008514099,0.320419417,0.026571733,0.978801319,0.983952905,FALSE,species
s__Coprococcus_catus,1.947351573,-0.544997513,0.336701062,-1.618639128,0.105524931,0.265200814,FALSE,species
s__Coprococcus_comes,3.526395664,0.144934928,0.327552771,0.4424781,0.658143275,0.72662061,FALSE,species
s__Coprococcus_eutactus,3.400537416,-0.194123279,0.459800182,-0.422190523,0.672885959,0.73862769,FALSE,species
s__Cyprinid_herpesvirus_3,1.033375178,-0.020664995,0.350621211,-0.058938235,0.953001304,NA,NA,species
s__Desulfovibrio_desulfuricans,1.043993121,-0.040029804,0.350123479,-0.114330533,0.908975779,NA,NA,species
s__Desulfovibrio_fairfieldensis,1.044163042,-0.040030382,0.350123943,-0.114332033,0.90897459,NA,NA,species
s__Desulfovibrio_legallii,1.044084491,-0.040030116,0.350123811,-0.114331317,0.908975158,NA,NA,species
s__Desulfovibrio_piger,1.905113234,1.048469378,0.354253566,2.959657932,0.003079808,0.02594265,TRUE,species
s__Desulfovibrio_sp_MES5,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Desulfovibrionaceae_bacterium,1.162465409,0.607366839,0.300242342,2.022921999,0.04308119,NA,NA,species
s__Dialister_invisus,1.475253317,0.241096293,0.30029153,0.802874103,0.422047506,0.555938439,FALSE,species
s__Dialister_sp_CAG_357,1.302306136,-0.440554037,0.346030367,-1.273165822,0.202959206,0.375621922,FALSE,species
s__Dielma_fastidiosa,1.227162586,-0.029623756,0.324650562,-0.091248128,0.927295433,NA,NA,species
s__Dorea_formicigenerans,2.291668937,-0.253727132,0.300340683,-0.844797746,0.398223773,0.534148716,FALSE,species
s__Dorea_longicatena,5.561450393,-0.945125418,0.378799758,-2.495052854,0.012593837,0.066817302,FALSE,species
s__Dorea_sp_CAG_317,2.401492378,-1.071447714,0.398928601,-2.685813228,0.007235352,0.040645655,TRUE,species
s__Dorea_sp_OM02_2LB,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Eggerthella_lenta,2.954412804,-0.862838094,0.423087769,-2.039383214,0.041411796,0.143367269,FALSE,species
s__Eggerthella_sp_CAG_209,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Eggerthella_sp_CAG_298,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Eggerthella_sp_CAG_368,1.033357758,-0.020664943,0.350621155,-0.058938095,0.953001415,NA,NA,species
s__Eisenbergiella_massiliensis,1.453817868,-0.40826557,0.338089909,-1.207565086,0.227214596,0.375621922,FALSE,species
s__Eisenbergiella_tayi,1.303049416,-0.140357437,0.353332045,-0.397239477,0.691190874,0.749757056,FALSE,species
s__Enorma_massiliensis,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Enterobacter_cloacae_complex,2.467714082,-0.894920908,0.45553682,-1.964541326,0.049467349,0.152391348,FALSE,species
s__Enterobacter_mori,1.022631025,-0.001036257,0.35113652,-0.002951151,0.997645326,NA,NA,species
s__Enterobacteria_phage_ES18,1.11959092,0.493731846,0.310124921,1.592041828,0.111375306,NA,NA,species
s__Enterobacteria_phage_HK225,1.044149555,0.12449463,0.339798751,0.366377538,0.714083379,NA,NA,species
s__Enterobacteria_phage_mEp237,1.044180462,-0.040030442,0.350124006,-0.114332182,0.908974472,NA,NA,species
s__Enterobacteria_phage_mEp460,1.065770313,-0.077998552,0.349183148,-0.223374331,0.823244181,NA,NA,species
s__Enterobacteria_phage_P4,1.119411495,-0.168762787,0.347156113,-0.486129382,0.626875436,NA,NA,species
s__Enterobacteria_phage_phiP27,1.065769293,-0.07799855,0.349184386,-0.223373532,0.823244802,NA,NA,species
s__Enterobacterial_phage_mEp390,1.086991422,0.125284263,0.333180447,0.376025255,0.706898121,NA,NA,species
s__Enterococcus_faecalis,1.679010835,-0.729985346,0.395093725,-1.847625766,0.0646565,0.181608698,FALSE,species
