Taxonomy,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold,level
c__Firmicutes_unclassified,11.2885942,0.764188146,0.598129659,1.277629582,0.201380065,0.492262381,FALSE,class
c__Fusobacteriia,0.076114131,0.777966374,3.453136815,0.225292659,0.82175161,0.982006224,FALSE,class
c__Gammaproteobacteria,12.82140413,-1.865198169,1.018594357,-1.831149129,0.067078287,0.210902336,FALSE,class
c__Lentisphaeria,0.017201569,-0.465996037,3.455741788,-0.134846891,0.892732931,0.982006224,FALSE,class
c__Methanobacteria,1.029452355,0.742671846,1.041279996,0.713229726,0.475703615,0.747534252,FALSE,class
c__Negativicutes,16.83503543,-2.649033879,0.566536864,-4.675836735,2.93E-06,6.44E-05,TRUE,class
c__Proteobacteria_unclassified,5.904697069,-2.967551235,1.227462897,-2.41763009,0.015621949,0.068736575,FALSE,class
c__Synergistia,0.918670548,-2.618252879,2.630209318,-0.995454187,0.319515415,0.63903083,FALSE,class
c__Thermoplasmata,0.03903403,0.501507853,3.454848484,0.145160593,0.884584079,0.982006224,FALSE,class
c__Verrucomicrobiae,11.16190124,0.95106265,1.086196811,0.875589617,0.381253172,0.698964148,FALSE,class
c__Viruses_unclassified,10.03499178,-1.502584846,0.579290239,-2.593837672,0.009491129,0.05725708,FALSE,class
o__Acidaminococcales,10.32525197,-2.582104723,0.675609728,-3.821888014,0.000132434,0.002118941,TRUE,order
o__Actinomycetales,0.013711113,-0.506061048,3.455739256,-0.14644075,0.88357346,0.952248459,FALSE,order
o__Aeromonadales,0.015005624,-0.465996037,3.455741788,-0.134846891,0.892732931,0.952248459,FALSE,order
o__Bacteroidales,714.6312178,-0.338620311,0.30651359,-1.104748117,0.269268747,0.783327265,FALSE,order
o__Bifidobacteriales,16.20047575,-1.93969962,0.776416223,-2.498272914,0.012480007,0.128517236,FALSE,order
o__Burkholderiales,3.847944001,-1.087151137,0.849334002,-1.280004255,0.200543639,0.644596367,FALSE,order
o__Campylobacterales,0.017201569,-0.465996037,3.455741788,-0.134846891,0.892732931,0.952248459,FALSE,order
o__Candidatus_Gastranaerophilales,0.151474068,1.174401746,3.254962,0.36080352,0.718246332,0.952248459,FALSE,order
o__Caudovirales,8.488106807,-1.263195932,0.597554245,-2.113943533,0.03452009,0.184107149,FALSE,order
o__Clostridiales,268.0004452,1.10E-09,0.022323485,4.92E-08,0.999999961,0.999999961,FALSE,order
