"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"s__Hungatella_hathewayi",1.24572408658609,0.406812173662545,0.397218129887647,1.02415308630956,0.305762973461395,0.550878745575074,FALSE,"species"
"s__Intestinibacter_bartlettii",2.45547944464646,-0.711297273477479,0.509220632399973,-1.39683514025171,0.162463152452078,0.402714285681136,FALSE,"species"
"s__Intestinimonas_butyriciproducens",3.00943655885601,-1.64856325237753,0.642673288941139,-2.56516535033483,0.0103126647210574,0.0611136376576771,FALSE,"species"
"s__Klebsiella_aerogenes",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Klebsiella_michiganensis",1.13773146408039,0.583656921573498,0.401999266424006,1.45188553891014,0.146533434140686,NA,NA,"species"
"s__Klebsiella_oxytoca",1.1207099197129,-0.150152871907542,0.46352718890411,-0.323935414150223,0.74598693173981,NA,NA,"species"
"s__Klebsiella_phage_phiKO2",1.49642004612197,-0.648708342582227,0.566695699812757,-1.14472077835877,0.25232484132215,0.506423350464662,FALSE,"species"
"s__Klebsiella_pneumoniae",3.21411282908859,-1.75093004949311,0.702432245957277,-2.49266752711065,0.0126787503847281,0.0690991895967681,FALSE,"species"
"s__Klebsiella_quasipneumoniae",1.63445927740598,-0.665299283164413,0.538740602649127,-1.23491580158051,0.216861841916189,0.483392933898807,FALSE,"species"
"s__Klebsiella_variicola",2.40660559106256,-0.961275362438833,0.605551286761334,-1.58743839449176,0.11241338931292,0.340523852105918,FALSE,"species"
"s__Klebsiella_virus_KP36",1.08496034666008,-0.0924369051189133,0.465111884299608,-0.198741223862964,0.842465175218425,NA,NA,"species"
"s__Lachnoclostridium_sp_An14",1.29948823179114,-0.408488124032248,0.459473579350665,-0.889035066193641,0.373984234380994,0.599474728640122,FALSE,"species"
"s__Lachnospira_pectinoschiza",4.51505050895144,0.603428332248599,0.543693027475994,1.10986954357299,0.267055246359651,0.518719341182494,FALSE,"species"
"s__Lachnospiraceae_bacterium_OF09_33XD",1.04956313934437,-0.0323165463759506,0.466906943266071,-0.0692141053844528,0.944819195560874,NA,NA,"species"
"s__Lachnospiraceae_bacterium_OF09_6",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactobacillus_acidophilus",1.08475614199854,0.320633931417193,0.429429034807431,0.746651729222208,0.455273814447972,NA,NA,"species"
"s__Lactobacillus_animalis",1.29747424897205,-0.0137985431157046,0.422605864299632,-0.0326510923803019,0.973952825700604,0.978130108866302,FALSE,"species"
"s__Lactobacillus_casei_group",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactobacillus_crispatus",1.26295097247638,-0.360367833852415,0.460064015893712,-0.783299326621691,0.433451358572087,0.659353222965969,FALSE,"species"
"s__Lactobacillus_delbrueckii",1.08526975074489,-0.0924379155844833,0.465113361270189,-0.198742765273486,0.842463969401386,NA,NA,"species"
"s__Lactobacillus_fermentum",1.2632077462702,-0.360373385108146,0.459656957733559,-0.784005069530651,0.433037135655353,0.659353222965969,FALSE,"species"
"s__Lactobacillus_gasseri",1.26238234772258,-0.360356494947598,0.459659484659192,-0.783964014611335,0.433061225814721,0.659353222965969,FALSE,"species"
"s__Lactobacillus_helveticus",1.04950732883116,-0.0323164244938579,0.466906759717587,-0.0692138715520092,0.944819381685814,NA,NA,"species"
"s__Lactobacillus_oris",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactobacillus_paragasseri",1.10291009762737,-0.121583733659016,0.464294234634269,-0.261867851438623,0.793423325761017,NA,NA,"species"
"s__Lactobacillus_phage_A2",1.0851277781997,-0.0924374525103142,0.465112682949333,-0.198742059502995,0.842464521512585,NA,NA,"species"
"s__Lactobacillus_phage_J1",1.04943926061065,0.114186527619129,0.453456087738996,0.251813859614237,0.801184944035546,NA,NA,"species"
"s__Lactobacillus_phage_Lc_Nu",1.0851277781997,-0.0924374525103142,0.465112682949333,-0.198742059502995,0.842464521512585,NA,NA,"species"
"s__Lactobacillus_phage_LF1",1.06748120299553,-0.06269051979172,0.465984150185439,-0.13453358824924,0.892980652916265,NA,NA,"species"
"s__Lactobacillus_phage_Lrm1",1.04968788712088,-0.0323168166286597,0.466907353998349,-0.0692146233121313,0.944818783303047,NA,NA,"species"
"s__Lactobacillus_phage_phiadh",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactobacillus_phage_phiAQ113",1.20890977262027,-0.285073123215798,0.46055117924806,-0.618982506311753,0.535927883368705,0.721186904780109,FALSE,"species"
"s__Lactobacillus_phage_Sha1",1.13879295795782,-0.178168905711957,0.462815568202571,-0.384967399441442,0.700261569092084,NA,NA,"species"
"s__Lactobacillus_plantarum",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactobacillus_prophage_Lj771",1.13875186209778,-0.0346756922885117,0.449044751568584,-0.0772210167636611,0.938447722606422,NA,NA,"species"
"s__Lactobacillus_prophage_Lj928",1.04950732883116,-0.0323164244938579,0.466906759717587,-0.0692138715520092,0.944819381685814,NA,NA,"species"
"s__Lactobacillus_reuteri",1.08526975074489,-0.0924379155844833,0.465113361270189,-0.198742765273486,0.842463969401386,NA,NA,"species"
"s__Lactobacillus_rhamnosus",1.0674401071355,-0.0626904106549162,0.465984119834346,-0.134533362804729,0.892980831174469,NA,NA,"species"
"s__Lactobacillus_rogosae",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactobacillus_salivarius",1.31629793075939,-0.431916665684058,0.461735413102613,-0.935420271929785,0.349571753728556,0.598713059198184,FALSE,"species"
"s__Lactobacillus_vaginalis",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactobacillus_virus_c5",1.0317808199167,-0.00128967900328909,0.467882447733103,-0.00275641672291322,0.997800700438634,NA,NA,"species"
"s__Lactococcus_lactis",1.10317535775267,-0.1215847853062,0.464294875035967,-0.261869755285972,0.793421857912446,NA,NA,"species"
"s__Lactococcus_phage_340",1.04965155938613,0.114188301864102,0.453456605412614,0.251817484851057,0.80118214178546,NA,NA,"species"
"s__Lactococcus_phage_bIL285",1.17395538485692,0.0442278644508263,0.435583728705402,0.101536998597895,0.919124188678383,0.945137137414564,FALSE,"species"
"s__Lactococcus_phage_bIL286",1.15580637919617,-0.205644486962287,0.462149689896379,-0.444973763821837,0.65633871431083,0.749131772676294,FALSE,"species"
"s__Lactococcus_phage_bIL309",1.29821772225014,-0.137975664146699,0.432703393533232,-0.318868920856066,0.749825912606157,0.825565903778496,FALSE,"species"
"s__Lactococcus_phage_bIL310",1.42338840268582,-0.178110811797852,0.422553379952684,-0.421510796618869,0.673382128980559,0.764569292280009,FALSE,"species"
