name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold,level
s__Candidatus_Gastranaerophilales_bacterium_HUM_10,1.116193182,-0.251777735,0.416275887,-0.604833819,0.54528942,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium_HUM_11,1.116307741,-0.36873241,0.406426707,-0.907254381,0.364272292,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium_HUM_21,1.043171715,0.022054423,0.457053191,0.048253514,0.961514202,NA,NA,species
s__Candidatus_Gastranaerophilales_bacterium_HUM_4,1.087224662,-0.417642101,0.407754265,-1.024249497,0.305717445,NA,NA,species
s__Candidatus_Methanomassiliicoccus_intestinalis,1.16104837,-0.809962339,0.368329938,-2.199013048,0.027876995,NA,NA,species
s__Candidatus_Stoquefichus_sp_KLE1796,1.456740143,0.583235542,0.526522548,1.107712375,0.267986053,0.467196925,FALSE,species
s__Catenibacterium_mitsuokai,1.249039951,0.329237593,0.451453821,0.729282991,0.465828574,0.601481387,FALSE,species
s__Christensenella_minuta,1.058033176,0.046302222,0.456446691,0.101440591,0.919200716,NA,NA,species
s__Citrobacter_braakii,1.160333492,0.205498149,0.452976175,0.453662157,0.650072009,NA,NA,species
s__Citrobacter_freundii,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Citrobacter_portucalensis,1.087148365,0.093607346,0.455312715,0.205589132,0.837111868,NA,NA,species
s__Citrobacter_youngae,1.116422416,0.139410486,0.454288618,0.306876467,0.758937402,NA,NA,species
s__Cloacibacillus_evryensis,1.072749633,-0.324535469,0.418198497,-0.776032128,0.437730016,NA,NA,species
s__Clostridiales_bacterium_1_7_47FAA,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridiales_bacterium_KLE1615,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridiales_Family_XIII_bacterium,1.043171715,0.022054423,0.457053191,0.048253514,0.961514202,NA,NA,species
s__Clostridium_aldenense,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridium_asparagiforme,1.822142126,0.946906591,0.550171967,1.721110211,0.085230827,0.250604073,FALSE,species
s__Clostridium_bolteae,1.410825752,0.274594932,0.423471224,0.648438232,0.516701549,0.623396756,FALSE,species
s__Clostridium_bolteae_CAG_59,1.146243498,0.183806231,0.453375288,0.405417401,0.685170722,NA,NA,species
s__Clostridium_citroniae,1.116736212,0.139411526,0.454286978,0.306879864,0.758934816,NA,NA,species
s__Clostridium_clostridioforme,2.177324103,1.102331997,0.57740453,1.909115602,0.05624718,0.192584194,FALSE,species
s__Clostridium_disporicum,1.923939177,1.033976205,0.513800838,2.012406616,0.044177092,0.161164575,FALSE,species
s__Clostridium_hiranonis,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridium_hylemonae,1.04331672,0.022054627,0.457053519,0.048253926,0.961513874,NA,NA,species
s__Clostridium_innocuum,1.072749633,0.070149032,0.455866579,0.15388062,0.877703865,NA,NA,species
s__Clostridium_lavalense,1.131513025,0.023935214,0.439440749,0.054467442,0.956562748,NA,NA,species
s__Clostridium_leptum,1.660418044,0.324298009,0.423511543,0.765735939,0.443833438,0.594797192,FALSE,species
s__Clostridium_methylpentosum,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridium_paraputrificum,1.043256363,0.022054542,0.457053382,0.048253755,0.96151401,NA,NA,species
s__Clostridium_perfringens,1.396344037,-1.365770515,0.322373481,-4.236609378,2.27E-05,0.000496704,TRUE,species
s__Clostridium_phage_phi24R,1.072382771,0.070148306,0.455865976,0.153879232,0.87770496,NA,NA,species
s__Clostridium_phage_phiCP39_O,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridium_phage_PhiS63,1.058033176,-0.093422546,0.442254966,-0.211241372,0.832698929,NA,NA,species
s__Clostridium_phage_vB_CpeS_CP51,1.116838645,0.139411865,0.45428963,0.306878819,0.758935612,NA,NA,species
s__Clostridium_saccharolyticum,1.19033251,0.247937072,0.452232801,0.54825097,0.583519589,NA,NA,species
s__Clostridium_scindens,1.058158611,0.04630243,0.456447026,0.101440971,0.919200414,NA,NA,species
s__Clostridium_sp_44_14,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridium_sp_AF36_4,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridium_sp_AM22_11AC,1.320993837,-0.173258982,0.392371269,-0.441568983,0.658801133,0.767951616,FALSE,species
s__Clostridium_sp_CAG_122,1.349142286,0.460788846,0.480222197,0.959532584,0.337290513,0.498122268,FALSE,species
s__Clostridium_sp_CAG_12237_41,1.130600425,0.161776133,0.453812885,0.356482018,0.721479617,NA,NA,species
s__Clostridium_sp_CAG_138,1.319730178,0.424737606,0.451365989,0.941004898,0.346702349,0.505928613,FALSE,species
s__Clostridium_sp_CAG_167,1.585488785,0.72417542,0.465912225,1.554317277,0.120108754,0.309197759,FALSE,species
s__Clostridium_sp_CAG_169,2.039786273,1.127035058,0.564941527,1.994958778,0.046047376,0.164933328,FALSE,species
s__Clostridium_sp_CAG_217,2.238579836,1.274749694,0.591419528,2.155406836,0.031130012,0.126476617,FALSE,species
s__Clostridium_sp_CAG_221,1.08688607,0.093606725,0.455311211,0.205588448,0.837112402,NA,NA,species
s__Clostridium_sp_CAG_230,1.043171715,0.022054423,0.457053191,0.048253514,0.961514202,NA,NA,species
s__Clostridium_sp_CAG_242,1.600721889,0.739034908,0.519297476,1.423143656,0.154694515,0.37164414,FALSE,species
s__Clostridium_sp_CAG_245,1.101457521,0.116689801,0.454784649,0.25658254,0.797501055,NA,NA,species
s__Clostridium_sp_CAG_253,1.585592403,0.723879372,0.52946851,1.36718116,0.171568529,0.39101269,FALSE,species
s__Clostridium_sp_CAG_265,1.08688607,0.093606723,0.455311754,0.205588198,0.837112597,NA,NA,species
s__Clostridium_sp_CAG_273,1.130570513,0.161776016,0.453812713,0.356481897,0.721479707,NA,NA,species
s__Clostridium_sp_CAG_277,1.043171715,0.022054423,0.457053191,0.048253514,0.961514202,NA,NA,species
s__Clostridium_sp_CAG_299,1.85278858,0.844866003,0.512149801,1.649646258,0.099015308,0.274732615,FALSE,species
s__Clostridium_sp_CAG_306,1.043171715,0.022054423,0.457053191,0.048253514,0.961514202,NA,NA,species
s__Clostridium_sp_CAG_389,1.145082141,0.183800922,0.453371152,0.405409388,0.685176611,NA,NA,species
s__Clostridium_sp_CAG_440,1.407158887,0.530488051,0.514200643,1.031675199,0.302224299,0.489302329,FALSE,species
s__Clostridium_sp_CAG_451,1.057713255,0.046301685,0.456445838,0.101439604,0.919201499,NA,NA,species
s__Clostridium_sp_CAG_505,1.057827815,-0.093422302,0.442254459,-0.211241062,0.832699171,NA,NA,species
s__Clostridium_sp_CAG_58,3.819841698,-0.506465126,0.388913937,-1.302255018,0.192829223,0.40595261,FALSE,species
s__Clostridium_sp_CAG_75,2.441522566,1.410070068,0.622575,2.26489992,0.023518822,0.103946527,FALSE,species
s__Clostridium_sp_chh4_2,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Clostridium_spiroforme,1.131231315,0.161778585,0.453815053,0.356485717,0.721476847,NA,NA,species
s__Clostridium_symbiosum,1.646068277,0.653431741,0.45308991,1.442167938,0.149255003,0.363427873,FALSE,species
s__Collinsella_aerofaciens,13.1020733,-0.061599018,0.520069979,-0.11844371,0.905716094,0.934167909,FALSE,species
s__Collinsella_intestinalis,1.352018236,0.461347746,0.451092288,1.022734723,0.306433289,0.489302329,FALSE,species
s__Collinsella_massiliensis,1.04330269,0.022054607,0.457053487,0.048253886,0.961513905,NA,NA,species
s__Collinsella_stercoris,1.308443052,0.406214309,0.450800039,0.901096438,0.367537047,0.51717713,FALSE,species
s__Collinsella_tanakaei,1.072314618,0.070148164,0.455865453,0.153879097,0.877705066,NA,NA,species
s__Coprobacillus_cateniformis,1.102182545,0.116691832,0.454788369,0.256584908,0.797499227,NA,NA,species
s__Coprobacter_fastidiosus,1.601824433,-0.811906891,0.348598427,-2.329060686,0.019855851,0.093133397,FALSE,species
s__Coprobacter_secundus,1.043256363,0.022054542,0.457053382,0.048253755,0.96151401,NA,NA,species
s__Coprobacter_sp,1.175463043,-0.385798738,0.395291578,-0.975985221,0.329071788,NA,NA,species
s__Coprococcus_catus,2.040611597,-0.015442224,0.399941246,-0.03861123,0.969200349,0.979140865,FALSE,species
s__Coprococcus_comes,4.228039133,0.441991999,0.436160946,1.013369041,0.310883921,0.489302329,FALSE,species
s__Coprococcus_eutactus,4.271452716,1.732868788,0.65575037,2.642573861,0.008227852,0.060032844,FALSE,species
s__Cyprinid_herpesvirus_3,1.04327251,0.022054565,0.457053419,0.048253801,0.961513973,NA,NA,species
s__Desulfovibrio_desulfuricans,1.057683343,0.046301634,0.456445814,0.101439498,0.919201583,NA,NA,species
s__Desulfovibrio_piger,1.777931658,-2.156086309,0.368565281,-5.849944149,4.92E-09,3.23E-07,TRUE,species
s__Desulfovibrio_sp_MES5,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Desulfovibrionaceae_bacterium,1.219713098,-0.523553843,0.378519311,-1.383162834,0.166614943,0.386154632,FALSE,species
s__Dialister_invisus,1.381081352,-1.182425691,0.326916937,-3.616899452,0.000298153,0.004195439,TRUE,species
s__Dialister_sp_CAG_357,1.410445064,-0.059348,0.397234294,-0.149403012,0.881235635,0.913702211,FALSE,species
s__Dielma_fastidiosa,1.102359585,0.116692321,0.454788047,0.256586165,0.797498256,NA,NA,species
s__Dorea_formicigenerans,2.599478579,0.136026768,0.370512876,0.367131016,0.713521293,0.803221113,FALSE,species
s__Dorea_longicatena,6.58101681,0.416826666,0.470286468,0.886325026,0.375442407,0.524554285,FALSE,species
s__Dorea_sp_CAG_317,2.028652375,0.46202191,0.460075931,1.004229692,0.315267913,0.489302329,FALSE,species
s__Dorea_sp_OM02_2LB,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Eggerthella_lenta,3.550950982,1.747382397,0.605124956,2.88763896,0.003881451,0.031860245,TRUE,species
s__Eggerthella_sp_CAG_209,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Eggerthella_sp_CAG_298,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Eggerthella_sp_CAG_368,1.043256363,0.022054542,0.457053382,0.048253755,0.96151401,NA,NA,species
s__Eisenbergiella_massiliensis,1.485505601,0.244011052,0.420933008,0.579690943,0.562123052,0.667097839,FALSE,species
s__Eisenbergiella_tayi,1.412207396,0.531884758,0.459005719,1.158775884,0.24654755,0.456670746,FALSE,species
s__Enorma_massiliensis,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Enterobacter_cloacae_complex,2.915729273,-2.512683855,0.478139447,-5.25512771,1.48E-07,4.86E-06,TRUE,species
s__Enterobacter_mori,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Enterobacteria_phage_ES18,1.160992251,0.205501731,0.452969989,0.45367626,0.650061856,NA,NA,species
s__Enterobacteria_phage_HK225,1.058005117,0.046302175,0.456446671,0.101440493,0.919200794,NA,NA,species
s__Enterobacteria_phage_mEp237,1.058081424,0.046302302,0.456446819,0.101440737,0.9192006,NA,NA,species
s__Enterobacteria_phage_mEp460,1.043288674,0.022054587,0.457053456,0.048253847,0.961513937,NA,NA,species
s__Enterobacteria_phage_P4,1.160903366,0.205501247,0.452972097,0.453673081,0.650064144,NA,NA,species
s__Enterobacterial_phage_mEp390,1.072568562,0.070148672,0.455866246,0.153879943,0.877704399,NA,NA,species
s__Enterococcus_faecalis,1.527571116,0.66275775,0.54576445,1.214365922,0.224608022,0.448198225,FALSE,species
s__Enterococcus_faecium,1.205481734,0.268699703,0.451948787,0.594535733,0.55215385,NA,NA,species
s__Enterorhabdus_caecimuris,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Erysipelatoclostridium_ramosum,1.220185933,0.289164679,0.451632691,0.640265164,0.522000225,0.623396756,FALSE,species
s__Escherichia_coli,3.027193272,-0.991836756,0.474066984,-2.092186947,0.036421796,0.140688113,FALSE,species
s__Escherichia_phage_HK639,1.46980865,0.599060394,0.526274803,1.138303393,0.254993818,0.456670746,FALSE,species
s__Escherichia_phage_TL_2011b,1.131434388,-0.228316338,0.415705837,-0.549225721,0.582850555,NA,NA,species
s__Escherichia_virus_HK544,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Escherichia_virus_Min27,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Escherichia_virus_N15,1.058033176,0.046302222,0.456446746,0.101440579,0.919200726,NA,NA,species
s__Escherichia_virus_P1,1.101681554,-0.275624187,0.416883581,-0.661153855,0.508513651,NA,NA,species
s__Escherichia_virus_P2,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Escherichia_virus_phi1,1.395922701,-1.626947153,0.315553366,-5.155854214,2.52E-07,7.11E-06,TRUE,species
s__Escherichia_virus_phiV10,1.057912463,-0.22499884,0.429838877,-0.523449256,0.600661655,NA,NA,species
s__Escherichia_virus_RB49,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Escherichia_virus_T5,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Escherichia_virus_wV8,1.248999132,0.329238793,0.455905767,0.722164134,0.470193571,0.601481387,FALSE,species
s__Eubacterium_callanderi,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Eubacterium_coprostanoligenes,1.413374683,0.532815088,0.51831439,1.027976646,0.303960813,0.489302329,FALSE,species
s__Eubacterium_dolichum_CAG_375,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Eubacterium_eligens,5.942847401,-0.207614647,0.511397344,-0.405975215,0.684760812,0.784974927,FALSE,species
s__Eubacterium_hallii,7.608071804,0.265615678,0.474624919,0.559632812,0.575729919,0.679154455,FALSE,species
s__Eubacterium_ramulus,1.805189931,0.176477275,0.420664404,0.419520343,0.674835891,0.782015709,FALSE,species
s__Eubacterium_rectale,26.67493981,-0.243916465,0.610178328,-0.399746195,0.689343464,0.784974927,FALSE,species
s__Eubacterium_siraeum,20.43198641,-1.348192859,0.735924688,-1.831971236,0.066955706,0.206098033,FALSE,species
s__Eubacterium_sp_36_13,1.247082302,0.329211572,0.451215011,0.729611301,0.465627812,0.601481387,FALSE,species
s__Eubacterium_sp_CAG_161,1.057743167,0.046301736,0.456445918,0.101439697,0.919201425,NA,NA,species
s__Eubacterium_sp_CAG_180,8.689245144,-1.499285063,0.721977791,-2.076635988,0.037835169,0.143337081,FALSE,species
s__Eubacterium_sp_CAG_192,1.057912463,-0.22499884,0.429838877,-0.523449256,0.600661655,NA,NA,species
s__Eubacterium_sp_CAG_251,1.991719569,1.090559783,0.581220224,1.876328004,0.060610254,0.192584194,FALSE,species
s__Eubacterium_sp_CAG_252,1.072314618,0.070148164,0.455865453,0.153879097,0.877705066,NA,NA,species
s__Eubacterium_sp_CAG_274,1.248764862,-1.172495404,0.338588195,-3.46289511,0.000534397,0.006579759,TRUE,species
s__Eubacterium_sp_CAG_38,2.731180896,0.859571003,0.515474946,1.667532069,0.095408653,0.268507209,FALSE,species
s__Eubacterium_sp_CAG_581,1.116028973,0.139409181,0.454286648,0.306874925,0.758938576,NA,NA,species
s__Eubacterium_sp_OM08_24,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Eubacterium_ventriosum,1.483433724,0.133765365,0.403356803,0.331630368,0.740168385,0.810073177,FALSE,species
s__Faecalibacterium_prausnitzii,71.42819129,-0.575306898,0.576269821,-0.998329041,0.31811983,0.489302329,FALSE,species
s__Faecalicatena_orotica,1.102182545,0.116691832,0.454788369,0.256584908,0.797499227,NA,NA,species
s__Faecalicoccus_pleomorphus,1.028600264,-0.002607462,0.457687201,-0.005697039,0.995454445,NA,NA,species
s__Faecalitalea_cylindroides,1.26391856,0.34887007,0.451448086,0.772780041,0.439652567,0.593229834,FALSE,species
s__Firmicutes_bacterium_AF16_15,1.086856158,0.093606654,0.455310993,0.205588391,0.837112446,NA,NA,species
s__Firmicutes_bacterium_AM10_47,1.101673342,-0.02186948,0.440476968,-0.049649543,0.960401666,NA,NA,species
