"term","estimate","std.error","statistic","p.value"
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_catenulatum",-8.11494323313485,9.51343107060151,-0.852998584097773,0.393660089394593
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_dentium",-10.6856104179837,19.2691866223327,-0.554543926913822,0.579206651884002
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_kashiwanohense",73.0775239860133,120.802964993734,0.604931542779634,0.545224483667554
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum",0.204005663014592,0.189532394242665,1.07636303456071,0.281764927690344
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum",2.36165561799351,6.20132015580022,0.38083110670953,0.703328575674304
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pseudolongum",-0.872044313536675,86.0155402360745,-0.0101382181771259,0.991911010811718
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_pullorum",-237.436811955806,25084.5291355408,-0.00946546816457461,0.992447761864789
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales",7957.29356070187,932471.564449982,0.00853355090285834,0.99319129412257
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae",7957.29356070187,932471.564449982,0.00853355090285834,0.99319129412257
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia",7957.29356070187,932471.564449982,0.00853355090285834,0.99319129412257
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_dentocariosa",7624.5073890317,673795.168792283,0.0113157644075987,0.990971518963508
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_mucilaginosa",324.895165916505,28711.7294257365,0.011315764407604,0.990971518963504
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia",0.275658566082712,0.18548242381809,1.48617082097796,0.137233943469331
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales",0.298754742516487,0.201370735588839,1.48360555789242,0.137913594060753
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.s__Olsenella_scatoligenes",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae",0.298754742516487,0.201370735588839,1.48360555789242,0.137913594060753
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella",0.297841158850068,0.201104148085201,1.48102941528527,0.138598735199162
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_aerofaciens",0.301427929495044,0.213180461447003,1.41395664241012,0.157374633267273
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_intestinalis",1.98517296899587,1.61695875800013,1.22772022426296,0.21955201171058
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella.s__Collinsella_stercoris",-2.43519297945775,5.13475564781313,-0.47425683839403,0.635316766135708
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma",551.908041561898,48773.3768270604,0.0113157644080877,0.990971518963118
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Collinsella_massiliensis",551.908041561898,48773.3768270604,0.0113157644080877,0.990971518963118
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Enorma_massiliensis",NA,NA,NA,NA
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales",0.956421978121884,0.844313729040827,1.13278032231978,0.257306516939137
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae",0.956421978121884,0.844313729040827,1.13278032231978,0.257306516939137
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia",1.31752267037286,3.80770398859128,0.34601499337145,0.729331446856893
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_equolifaciens",1.31752267037286,3.80770398859128,0.34601499337145,0.729331446856893
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter",-0.191446047392397,3.05943550851396,-0.062575611370016,0.950104450654444
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Asaccharobacter.s__Asaccharobacter_celatus",-0.191446047392397,3.05943550851396,-0.062575611370016,0.950104450654444
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella",1.76739478180123,1.29618173746333,1.36353933304143,0.172712597052457
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Eggerthella.s__Eggerthella_lenta",1.76739478180123,1.29618173746333,1.36353933304143,0.172712597052457
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus",-53.6218993079689,5289.08515985101,-0.010138218177126,0.991911010811718
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus.s__Enterorhabdus_caecimuris",-53.6218993079689,5289.08515985101,-0.010138218177126,0.991911010811718
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter",0.0126273093902561,2.81297871348019,0.00448894594535831,0.996418351364673
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Gordonibacter.s__Gordonibacter_pamelaeae",0.0126273093902561,2.81297871348019,0.00448894594535831,0.996418351364673
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia",4.24817934123093,4.68455599122962,0.906847809949189,0.364487283228288
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Slackia.s__Slackia_isoflavoniconvertens",4.24817934123093,4.68455599122962,0.906847809949189,0.364487283228288
"k__Bacteria.p__Bacteroidetes",-0.0159120166363525,0.0152139064284374,-1.04588632191205,0.295613520190222
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia",-0.0159120166363525,0.0152139064284374,-1.04588632191205,0.295613520190222
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales",-0.0159120166363525,0.0152139064284374,-1.04588632191205,0.295613520190222
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae",-0.0240373044418928,0.0150367330423312,-1.59857226794034,0.109915675795454
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides",-0.0240373044418928,0.0150367330423312,-1.59857226794034,0.109915675795454
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caccae",0.00684826844612181,0.171266048893346,0.0399861413886325,0.968104175026925
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_caecimuris",-58.7012175070569,5790.09215243569,-0.0101382181771258,0.991911010811718
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_cellulosilyticus",-0.124681346952084,0.130726037236727,-0.953760624796596,0.3402048248027
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_clarus",-6.96226898306744,12.4298304034915,-0.560125822884256,0.575393617992201
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprocola",-0.992429896005676,1.2571948652065,-0.789400214295866,0.429878130690967
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_coprophilus",-0.0957342386846572,1.03550378444474,-0.09245184819483,0.926339046876517
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_dorei",-0.314047647374516,0.24204881340348,-1.29745584354929,0.194474388826956
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_eggerthii",-0.0449291193068042,0.0658049157845991,-0.682762355533921,0.494757020500668
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecis",0.0309345200242437,0.13511073125203,0.228956795197413,0.818902496599077
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_faecis_CAG_32",-0.40236030075548,0.708069875613316,-0.568249426523002,0.569865614110976
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_finegoldii",0.337289267051071,0.230463801866042,1.46352383463292,0.143324096623031
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_fragilis",0.1205653835497,0.132923456475492,0.907028652026736,0.364391645793531
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_galacturonicus",NA,NA,NA,NA
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_intestinalis",0.202788113573385,0.184669734306276,1.09811233733114,0.272155438731538
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_massiliensis",-0.075944029953722,0.511995443899927,-0.148329503433171,0.882082732518819
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_nordii",-89.9961029753502,135.25644479421,-0.665373861572938,0.505811398921892
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus",-0.222184767326188,0.213061516916686,-1.04281979468432,0.297031761731242
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_plebeius",-0.194584503441797,0.208953929379822,-0.931231606983062,0.351733771530468
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_salyersiae",0.0250533001512619,0.413071097754929,0.060651302614558,0.951636915117652
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_sp_CAG_443",-2.29428417333053,226.300532622706,-0.0101382181771336,0.991911010811712
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercorirosoris",-23.261714355084,2294.45785725565,-0.0101382181771282,0.991911010811716
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_stercoris",0.023184320719767,0.0316964713392676,0.731448004782943,0.464505552637569
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_thetaiotaomicron",-0.0503471465242548,0.0872286983706472,-0.577185576131407,0.563814099757287
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_uniformis",-0.0779827078364354,0.0457077639293394,-1.70611513520964,0.0879866451384423
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_vulgatus",0.00840230427157406,0.0338998002467153,0.247857043711879,0.804245017109456
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_xylanisolvens",0.248831970308658,0.22813556004294,1.09071979073242,0.275396199519262
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae",-0.249227695802502,0.289549449674679,-0.860743116875271,0.389379540266515
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella",-0.214077022985507,0.309328759107833,-0.692069575434721,0.488893637029311
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Barnesiella.s__Barnesiella_intestinihominis",-0.214077022985507,0.309328759107833,-0.692069575434721,0.488893637029311
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter",-0.243772056431013,0.588488871701765,-0.414233927187245,0.678702797289425
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_fastidiosus",-0.116518502510587,0.560257219852213,-0.207973227977898,0.83524987127603
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_secundus",-173.835273710811,17146.5311432022,-0.0101382181771342,0.991911010811711
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Barnesiellaceae.g__Coprobacter.s__Coprobacter_sp",-11.4455271934192,26.8398649829563,-0.426437584566362,0.669789019405818
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae",-0.477284573212724,47.0777571437133,-0.0101382181771261,0.991911010811717
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae_unclassified",-1.23045102488597,121.36758189542,-0.0101382181771259,0.991911010811718
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae_unclassified.s__Muribaculaceae_bacterium_DSM_103720",-1.23045102488597,121.36758189542,-0.0101382181771259,0.991911010811718
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum",-0.779741291741203,76.9110782701893,-0.0101382181771261,0.991911010811717
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum.s__Muribaculum_intestinale",-0.779741291741203,76.9110782701893,-0.0101382181771261,0.991911010811717
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae",-1.06959563677287,0.569663076310558,-1.87759340784406,0.0604368082406093
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas",-0.464179680102592,1.51014904776552,-0.30737342170921,0.758559156032738
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_synergistica",-3.28746794939093,7.15210113844592,-0.459650651711178,0.645766996062993
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_virosa",-0.2972904321188,1.48021942309764,-0.200842136969574,0.840822013643041
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter",-1.23967479404656,0.655070803452418,-1.8924287077261,0.0584338840959699
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_laneus",-96.5177567902021,11934.8745146539,-0.0080870357431656,0.993547549369814
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus",-1.24062456120608,0.658219336487989,-1.88481937924459,0.0594542276392746
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae",83.9266980604907,7416.79439772721,0.0113157644070879,0.990971518963916
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas",NA,NA,NA,NA
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas.s__Porphyromonas_asaccharolytica",NA,NA,NA,NA
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides",83.9266980604907,7416.79439772721,0.0113157644070879,0.990971518963916
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Sanguibacteroides.s__Sanguibacteroides_justesenii",83.9266980604907,7416.79439772721,0.0113157644070879,0.990971518963916
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae",0.0176564058991,0.0296545821399609,0.595402282715264,0.55157460002599
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella",-0.541124180109165,0.798607261886903,-0.677584847939684,0.498034955871088
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_clara",-11278.4447422895,1326818.31070461,-0.00850036862718606,0.993217768787785
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella.s__Paraprevotella_xylaniphila",-0.49148477929293,0.828910468142962,-0.592928667427764,0.553228891717376
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella",0.0190593053516404,0.0300225099102807,0.634833843292824,0.525536788136883
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_buccalis",-238.833571262112,23557.746251794,-0.0101382181771282,0.991911010811716
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_copri",0.0322656989726226,0.036368418117567,0.887190057822101,0.374976584264134
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_AM42_24",98.5573666086626,8709.74006337833,0.0113157644076044,0.990971518963504
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_sp_CAG_1031",0.198681016070381,0.200023715003728,0.993287301291639,0.320569964200035
