M-Group	M-Group-Type [k|u]	M-Group  Label (kVSG only)	species	hits	genomes of the species bin(s)
M1	kVSG	NC_0274021_Salmonella_phage_SPN3US	Proteus_mirabilis 	7	275
M1	kVSG	NC_0274021_Salmonella_phage_SPN3US	Salmonella_enterica 	1	8517
M2	uVSG	-	Erysipelotrichaceae_bacterium 	17	442
M2	uVSG	-	Erysipelotrichaceae_unclassified_SGB71090 	7	46
M2	uVSG	-	Eubacteriaceae_bacterium 	5	307
M2	uVSG	-	Eubacterium_rectale 	4	8042
M2	uVSG	-	Clostridia_bacterium 	3	13613
M2	uVSG	-	Ruminococcus_sp_NSJ_71 	2	1587
M2	uVSG	-	Lachnospiraceae_bacterium 	2	3222
M2	uVSG	-	Enterocloster_clostridioformis 	2	158
M2	uVSG	-	Clostridium_sp_AF34_10BH 	1	2365
M2	uVSG	-	GGB31769_SGB77503 	1	1
M2	uVSG	-	Lachnospira_SGB5077 	1	505
M2	uVSG	-	GGB9633_SGB15090 	1	688
M2	uVSG	-	GGB3637_SGB4930 	1	97
M2	uVSG	-	Pseudoruminococcus_massiliensis 	1	556
M2	uVSG	-	Eubacterium_sp_AM28_29 	1	1257
M2	uVSG	-	GGB3256_SGB4303 	1	1772
M2	uVSG	-	Faecalibacillus_intestinalis 	1	1381
M2	uVSG	-	Bacteroides_uniformis 	1	6758
M4	uVSG	-	Ligilactobacillus_ruminis 	114	438
M4	uVSG	-	Erysipelatoclostridium_ramosum 	4	477
M4	uVSG	-	GGB4585_SGB6340 	2	303
M4	uVSG	-	Streptococcus_equinus 	1	188
M4	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M4	uVSG	-	Ligilactobacillus_salivarius 	1	266
M4	uVSG	-	Streptococcus_salivarius 	1	1053
M4	uVSG	-	Ligilactobacillus_agilis 	1	28
M5	uVSG	-	Flavonifractor_plautii 	1	696
M6	uVSG	-	Gemmiger_SGB15299 	1	326
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Erwinia_amylovora 	27	42
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Escherichia_albertii 	15	164
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	GGB26304_SGB38355 	1	1
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Roseburia_inulinivorans 	1	1121
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Escherichia_coli 	1	18595
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Dickeya_zeae 	1	13
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Salmonella_enterica 	1	8517
M8	kVSG	NC_0273691_Escherichia_phage_EC6|NC_0279911_Staphylococcus_phage_SA1|NC_0420971_Salmonella_phage_BPS17W1|NC_0419791_Escherichia_coli_O157_typing_phage_1|NC_0419231_Salmonella_phage_Mushroom|NC_0273371_Escherichia_phage_vB_EcoMVpaE1|NC_0273601_Enterobacteriaphage_UAB_Phi87|NC_0310821_Escherichia_phage_vB_EcoM_Alf5|NC_0319391_Salmonella_phage_BPS15Q2|NC_0288721_Escherichia_phage_HY02|NC_0273291_Salmonella_phage_vB_SPuM_SP116|NC_0052821_Enterobacteria_phage_Felix_01|NC_0290231_Escherichia_phage_JH2|NC_0420961_Salmonella_phage_BPS17L1	Acinetobacter_baumannii 	1	3012
M9	uVSG	-	Bacteroides_thetaiotaomicron 	1	711
M9	uVSG	-	Bacteroides_ovatus 	1	1006
M9	uVSG	-	Prevotella_sp_oral_taxon_376 	1	1
M10	uVSG	-	Lachnospiraceae_unclassified_SGB4882 	3	382
M10	uVSG	-	GGB3733_SGB5066 	1	367
M10	uVSG	-	GGB4569_SGB6310 	1	246
M10	uVSG	-	Pelagibacteraceae_unclassified_SGB47326 	1	1
M10	uVSG	-	Gemmiger_SGB15292 	1	40
M11	uVSG	-	Bacteroides_ovatus 	35	1006
M11	uVSG	-	Bacteroides_thetaiotaomicron 	2	711
M11	uVSG	-	Bacteroides_caccae 	1	742
M11	uVSG	-	Parabacteroides_distasonis 	1	4705
M11	uVSG	-	Bacteroides_uniformis 	1	6758
M11	uVSG	-	GGB33273_SGB48572 	1	9
M11	uVSG	-	Bacteroides_intestinalis 	1	211
M11	uVSG	-	Bacteroides_xylanisolvens 	1	364
M11	uVSG	-	Bacteroides_sp_D2 	1	13
M12	uVSG	-	Ruminococcus_bromii 	2	4359
M12	uVSG	-	Bifidobacterium_adolescentis 	1	2922
M13	uVSG	-	Actinomyces_bouchesdurhonensis 	1	6
M14	uVSG	-	Haemophilus_parainfluenzae 	3	443
M14	uVSG	-	Lachnospira_eligens 	2	3354
M14	uVSG	-	Bacilli_bacterium 	1	1335
M14	uVSG	-	Collimonas_pratensis 	1	3
M15	uVSG	-	Escherichia_coli 	3	18595
M17	uVSG	-	Streptococcus_lutetiensis 	5	143
M18	uVSG	-	Campylobacter_concisus 	76	288
M18	uVSG	-	Campylobacter_SGB19357 	1	1
M18	uVSG	-	Campylobacter_SGB64307 	1	2
M18	uVSG	-	Campylobacter_fetus 	1	84
M18	uVSG	-	Arcobacter_thereius 	1	6
M18	uVSG	-	Campylobacter_curvus 	1	13
M19	uVSG	-	Clostridia_unclassified_SGB6371 	2	69
M19	uVSG	-	Clostridium_SGB6179 	2	218
M19	uVSG	-	Romboutsia_timonensis 	1	397
M19	uVSG	-	GGB4456_SGB6141 	1	55
M19	uVSG	-	GGB4713_SGB6526 	1	214
M19	uVSG	-	Akkermansia_muciniphila 	1	3102
M19	uVSG	-	Clostridium_SGB6173 	1	62
M19	uVSG	-	Faecalibacillus_intestinalis 	1	1381
M19	uVSG	-	Clostridia_unclassified_SGB6317 	1	277
M19	uVSG	-	Clostridium_SGB70984 	1	1
M19	uVSG	-	Intestinibacter_SGB6139 	1	61
M19	uVSG	-	Clostridium_disporicum 	1	78
M19	uVSG	-	GGB4769_SGB6602 	1	198
M20	uVSG	-	Fusicatenibacter_saccharivorans 	384	4240
M20	uVSG	-	Coprococcus_eutactus 	12	3568
M20	uVSG	-	Roseburia_inulinivorans 	10	1121
M20	uVSG	-	GGB4569_SGB6310 	8	246
M20	uVSG	-	Roseburia_faecis 	6	3280
M20	uVSG	-	Blautia_wexlerae 	5	2518
M20	uVSG	-	Anaerobutyricum_hallii 	5	960
M20	uVSG	-	Faecalicatena_fissicatena 	2	812
M20	uVSG	-	Lachnospiraceae_bacterium 	2	3222
M20	uVSG	-	Ruminococcaceae_unclassified_SGB4425 	2	714
M20	uVSG	-	GGB32202_SGB47389 	2	49
M20	uVSG	-	Clostridium_sp_AM49_4BH 	2	665
M20	uVSG	-	Blautia_faecis 	2	663
M20	uVSG	-	Lachnospira_SGB5077 	2	505
M20	uVSG	-	Clostridium_sp_AF34_13 	2	375
M20	uVSG	-	Roseburia_intestinalis 	1	1217
M20	uVSG	-	Dorea_SGB71714 	1	8
M20	uVSG	-	Ruminococcus_SGB74336 	1	2
M20	uVSG	-	Anaerostipes_hadrus 	1	3947
M20	uVSG	-	Clostridium_sp_AF36_4 	1	1480
M20	uVSG	-	Ruminococcus_torques 	1	2473
M20	uVSG	-	Eubacterium_ramulus 	1	124
M20	uVSG	-	Lachnospira_sp_NSJ_43 	1	755
M20	uVSG	-	Blautia_sp_MSK_20_85 	1	347
M20	uVSG	-	GGB9342_SGB14306 	1	1383
M20	uVSG	-	Acholeplasmatales_unclassified_SGB6584 	1	323
M20	uVSG	-	GGB9712_SGB15244 	1	603
M20	uVSG	-	GGB9758_SGB15368 	1	3034
M20	uVSG	-	Roseburia_sp_AF02_12 	1	1130
M20	uVSG	-	Lachnospira_pectinoschiza 	1	2032
M20	uVSG	-	Eisenbergiella_tayi 	1	125
M21	uVSG	-	Agathobaculum_butyriciproducens 	212	947
M21	uVSG	-	Butyricicoccus_faecihominis 	27	53
M21	uVSG	-	Flavonifractor_plautii 	21	696
M21	uVSG	-	GGB35978_SGB53503 	14	24
M21	uVSG	-	Roseburia_inulinivorans 	10	1121
M21	uVSG	-	Clostridium_phoceensis 	10	163
M21	uVSG	-	Oscillibacter_sp_ER4 	6	2741
M21	uVSG	-	Butyricicoccus_sp_AM29_23AC 	6	423
M21	uVSG	-	Ruminococcaceae_unclassified_SGB15265 	5	1241
M21	uVSG	-	Fusicatenibacter_saccharivorans 	3	4240
M21	uVSG	-	Butyricicoccus_SGB14992 	3	47
M21	uVSG	-	Butyricicoccus_SGB14990 	3	38
M21	uVSG	-	GGB9632_SGB15089 	3	887
M21	uVSG	-	GGB9615_SGB15053 	3	1060
M21	uVSG	-	Ruminococcaceae_bacterium 	2	5899
M21	uVSG	-	Gemmiger_formicilis 	2	3023
M21	uVSG	-	GGB9758_SGB15368 	2	3034
M21	uVSG	-	Firmicutes_bacterium_AF16_15 	2	1338
M21	uVSG	-	GGB3293_SGB4348 	2	2283
M21	uVSG	-	Ruminococcaceae_unclassified_SGB15256 	2	225
M21	uVSG	-	GGB9634_SGB15097 	2	126
M21	uVSG	-	Ruthenibacterium_lactatiformans 	1	958
M21	uVSG	-	GGB39760_SGB72707 	1	1
M21	uVSG	-	Ruminococcus_bromii 	1	4359
M21	uVSG	-	GGB41941_SGB59046 	1	2
M21	uVSG	-	GGB3751_SGB5099 	1	81
M21	uVSG	-	Faecalibacterium_prausnitzii 	1	9456
M21	uVSG	-	GGB9699_SGB15216 	1	654
M21	uVSG	-	Ruminococcaceae_unclassified_SGB15234 	1	779
M21	uVSG	-	GGB9673_SGB15172 	1	72
M21	uVSG	-	GGB9631_SGB15087 	1	206
M21	uVSG	-	GGB9697_SGB15213 	1	49
M21	uVSG	-	Ruminococcaceae_unclassified_SGB15260 	1	538
M21	uVSG	-	Blautia_wexlerae 	1	2518
M21	uVSG	-	GGB1264_SGB1697 	1	50
M21	uVSG	-	Ruminococcus_callidus 	1	656
M21	uVSG	-	Corynebacterium_pseudodiphtheriticum 	1	13
M21	uVSG	-	Anaerofilum_sp_An201 	1	1
M21	uVSG	-	Streptococcus_thermophilus 	1	682
M22	uVSG	-	Ligilactobacillus_ruminis 	173	438
M22	uVSG	-	Limosilactobacillus_oris 	2	23
M22	uVSG	-	Streptococcus_equinus 	1	188
M22	uVSG	-	Ruminococcus_torques 	1	2473
M22	uVSG	-	Dialister_invisus 	1	1495
M22	uVSG	-	Phocaeicola_dorei 	1	1473
M22	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M22	uVSG	-	Barnesiella_intestinihominis 	1	3045
M22	uVSG	-	GGB4238_SGB5730 	1	5
M22	uVSG	-	Ligilactobacillus_SGB74312 	1	2
M22	uVSG	-	Faecalibacillus_intestinalis 	1	1381
M22	uVSG	-	Ligilactobacillus_agilis 	1	28
M22	uVSG	-	Prolixibacter_sp_SD074 	1	1
M23	uVSG	-	Prevotella_copri 	16	3266
M24	uVSG	-	Bifidobacterium_adolescentis 	248	2922
M24	uVSG	-	Bifidobacterium_longum 	219	3602
M24	uVSG	-	Bifidobacterium_pseudocatenulatum 	188	1187
M24	uVSG	-	Bifidobacterium_breve 	67	593
M24	uVSG	-	Bifidobacterium_bifidum 	60	1267
M24	uVSG	-	Bifidobacterium_catenulatum 	53	431
M24	uVSG	-	Bifidobacterium_dentium 	8	185
M24	uVSG	-	Bifidobacterium_angulatum 	4	87
M24	uVSG	-	Bacteroides_eggerthii 	1	533
M24	uVSG	-	Eggerthellaceae_unclassified_SGB14322 	1	361
M24	uVSG	-	Sutterella_wadsworthensis 	1	2415
M24	uVSG	-	Parasutterella_excrementihominis 	1	732
M24	uVSG	-	Collinsella_SGB14500 	1	11
M24	uVSG	-	Bifidobacterium_boum 	1	4
M24	uVSG	-	Bifidobacterium_SGB60361 	1	5
M24	uVSG	-	GGB40041_SGB60369 	1	4
M24	uVSG	-	Bacteroidales_bacterium 	1	1048
M24	uVSG	-	GGB39880_SGB53839 	1	6
M24	uVSG	-	Opitutales_unclassified_SGB48447 	1	1
M24	uVSG	-	Prochlorococcus_SGB53702 	1	1
M24	uVSG	-	Clostridium_sp_AF36_4 	1	1480
M24	uVSG	-	Bifidobacterium_ruminantium 	1	13
M24	uVSG	-	GGB40041_SGB60367 	1	2
M25	uVSG	-	Clostridium_innocuum 	128	328
M25	uVSG	-	GGB33317_SGB51734 	10	20
M25	uVSG	-	Clostridium_sp_AF36_4 	3	1480
M25	uVSG	-	Erysipelatoclostridium_ramosum 	1	477
M25	uVSG	-	Ligilactobacillus_salivarius 	1	266
M25	uVSG	-	Anaerobutyricum_hallii 	1	960
M25	uVSG	-	Ruminococcus_bromii 	1	4359
M25	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M26	uVSG	-	Hungatella_hathewayi 	37	240
M26	uVSG	-	Ruminococcus_callidus 	9	656
M26	uVSG	-	Faecalibacterium_prausnitzii 	3	9456
M26	uVSG	-	Blautia_massiliensis 	2	1146
M26	uVSG	-	Megasphaera_hexanoica 	1	28
M26	uVSG	-	Pseudoruminococcus_massiliensis 	1	556
M26	uVSG	-	Faecalicatena_fissicatena 	1	812
M26	uVSG	-	Lentisphaeria_bacterium 	1	518
M26	uVSG	-	Streptococcus_equi 	1	264
M27	uVSG	-	Flavonifractor_plautii 	178	696
M27	uVSG	-	Ruthenibacterium_lactatiformans 	89	958
M27	uVSG	-	Dysosmobacter_welbionis 	64	598
M27	uVSG	-	Clostridium_phoceensis 	14	163
M27	uVSG	-	Intestinimonas_butyriciproducens 	12	41
M27	uVSG	-	GGB9644_SGB15121 	8	177
M27	uVSG	-	Clostridia_bacterium 	6	13613
M27	uVSG	-	Oscillibacter_sp_ER4 	5	2741
M27	uVSG	-	Anaeromassilibacillus_sp_An250 	5	28
M27	uVSG	-	Ruminococcaceae_unclassified_SGB15234 	4	779
M27	uVSG	-	Ruminococcaceae_bacterium 	3	5899
M27	uVSG	-	Clostridiales_bacterium 	2	182
M27	uVSG	-	GGB9635_SGB15106 	2	1782
M27	uVSG	-	GGB60372_SGB82333 	2	3
M27	uVSG	-	GGB9631_SGB15087 	2	206
M27	uVSG	-	Eubacterium_rectale 	2	8042
M27	uVSG	-	GGB9695_SGB15211 	2	13
M27	uVSG	-	GGB9634_SGB15093 	2	442
M27	uVSG	-	Faecalibacterium_prausnitzii 	2	9456
M27	uVSG	-	Aeromonas_caviae 	2	69
M27	uVSG	-	Clostridium_sp_SN20 	2	3
M27	uVSG	-	Clostridiales_bacterium_Choco116 	1	51
M27	uVSG	-	GGB9524_SGB14923 	1	21
M27	uVSG	-	GGB9595_SGB15019 	1	122
M27	uVSG	-	Clostridium_jeddahense 	1	17
M27	uVSG	-	GGB9695_SGB15210 	1	7
M27	uVSG	-	Clostridia_unclassified_SGB14297 	1	41
M27	uVSG	-	GGB9694_SGB15204 	1	31
M27	uVSG	-	GGB9597_SGB15022 	1	54
M27	uVSG	-	Clostridia_unclassified_SGB15404 	1	1
M27	uVSG	-	GGB9669_SGB15167 	1	1
M27	uVSG	-	GGB9454_SGB14846 	1	2
M27	uVSG	-	Ruminococcus_sp_JE7A12 	1	437
M27	uVSG	-	Ruminococcaceae_unclassified_SGB15260 	1	538
M27	uVSG	-	GGB9614_SGB15049 	1	55
M27	uVSG	-	Ruminococcaceae_unclassified_SGB15265 	1	1241
M27	uVSG	-	GGB9633_SGB15090 	1	688
M27	uVSG	-	Flavonifractor_SGB63188 	1	2
M27	uVSG	-	Lawsonibacter_sp_NSJ_51 	1	30
M27	uVSG	-	GGB9758_SGB15368 	1	3034
M27	uVSG	-	Holdemanella_biformis 	1	544
M27	uVSG	-	Mycoplasma_ovipneumoniae 	1	13
M27	uVSG	-	Gemmiger_sp_An50 	1	1
M27	uVSG	-	Flavonifractor_sp_An10 	1	12
M27	uVSG	-	Plantactinospora_sp_KBS50 	1	1
M27	uVSG	-	Candidatus_Pseudoruminococcus_merdavium 	1	1
M28	uVSG	-	Senegalimassilia_anaerobia 	11	143
M28	uVSG	-	GGB18380_SGB72444 	5	17
M28	uVSG	-	Senegalimassilia_SGB14823 	2	19
M28	uVSG	-	GGB18380_SGB27143 	2	68
M28	uVSG	-	Ellagibacter_SGB14815 	1	23
M28	uVSG	-	Slackia_SGB72411 	1	82
M28	uVSG	-	Slackia_isoflavoniconvertens 	1	299
M29	uVSG	-	Clostridia_bacterium 	1	13613
M29	uVSG	-	Holdemanella_biformis 	1	544
M29	uVSG	-	Bifidobacterium_subtile 	1	1
M29	uVSG	-	Bifidobacterium_sp_LMG_31471 	1	1
M30	uVSG	-	Alistipes_inops 	18	835
M30	uVSG	-	Alistipes_shahii 	7	1611
M30	uVSG	-	GGB9633_SGB15090 	5	688
M30	uVSG	-	Pectobacterium_versatile 	5	61
M30	uVSG	-	Bacteroides_cellulosilyticus 	4	522
M30	uVSG	-	Bilophila_wadsworthia 	3	1097
M30	uVSG	-	Barnesiella_intestinihominis 	3	3045
M30	uVSG	-	Yersinia_pestis 	3	422
M30	uVSG	-	Rahnella_aquatilis 	2	25
M30	uVSG	-	Pseudomonas_cichorii 	2	19
M30	uVSG	-	GGB59565_SGB81375 	1	1
M30	uVSG	-	Prevotella_intermedia 	1	60
M30	uVSG	-	GGB9480_SGB14875 	1	11
M30	uVSG	-	Odoribacter_splanchnicus 	1	1981
M30	uVSG	-	Bacteroidaceae_bacterium 	1	1518
M30	uVSG	-	Flavonifractor_plautii 	1	696
M30	uVSG	-	Clostridia_bacterium 	1	13613
M30	uVSG	-	Bilophila_SGB15450 	1	9
M30	uVSG	-	Phocaeicola_vulgatus 	1	4172
M30	uVSG	-	Bifidobacterium_adolescentis 	1	2922
M30	uVSG	-	GGB9691_SGB15198 	1	330
M30	uVSG	-	Acinetobacter_sp_BIGb0102 	1	7
M30	uVSG	-	Rhodanobacter_sp_OR444 	1	1
M30	uVSG	-	Bifidobacterium_merycicum 	1	4
M30	uVSG	-	Pectobacterium_brasiliense 	1	39
M30	uVSG	-	Acidithiobacillus_ferrivorans 	1	5
M30	uVSG	-	Acidiferrobacter_thiooxydans 	1	2
M30	uVSG	-	Acidithiobacillus_sulfuriphilus 	1	1
M30	uVSG	-	Extibacter_muris 	1	6
M30	uVSG	-	Denitrobaculum_tricleocarpae 	1	1
M30	uVSG	-	Pseudomonas_psychrotolerans 	1	16
M31	uVSG	-	Collinsella_sp_AF02_46_1 	11	380
M31	uVSG	-	Collinsella_aerofaciens 	6	2091
M31	uVSG	-	Collinsella_SGB14439 	5	93
M31	uVSG	-	Collinsella_sp_AM34_10 	3	123
M31	uVSG	-	Collinsella_SGB14427 	3	12
M31	uVSG	-	GGB32633_SGB54013 	1	2
M31	uVSG	-	Collinsella_SGB14484 	1	23
M31	uVSG	-	GGB37825_SGB72554 	1	1
M31	uVSG	-	GGB35195_SGB72533 	1	5
M31	uVSG	-	Collinsella_SGB14500 	1	11
M32	uVSG	-	Mesosutterella_multiformis 	22	323
M32	uVSG	-	Dakarella_massiliensis 	16	73
M32	uVSG	-	GGB2726_SGB3668 	1	147
M32	uVSG	-	Comamonas_kerstersii 	1	70
M33	uVSG	-	Enterocloster_bolteae 	20	377
M33	uVSG	-	Enterocloster_asparagiformis 	13	18
M33	uVSG	-	Enterocloster_lavalensis 	12	19
M33	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M33	uVSG	-	Enterocloster_clostridioformis 	1	158
M35	kVSG	NC_0098171_Lactococcus_phage_KSY1	Chryseobacterium_molle 	1	1
M36	uVSG	-	Enterocloster_citroniae 	6	14
M36	uVSG	-	Ruminococcus_bromii 	5	4359
M36	uVSG	-	Enterocloster_aldensis 	5	69
M36	uVSG	-	Enterocloster_clostridioformis 	3	158
M36	uVSG	-	Eubacterium_rectale 	3	8042
M36	uVSG	-	GGB3637_SGB4930 	2	97
M36	uVSG	-	GGB3746_SGB5089 	2	1052
M36	uVSG	-	Eubacterium_sp_AM28_29 	2	1257
M36	uVSG	-	Hungatella_hathewayi 	2	240
M36	uVSG	-	Eubacterium_siraeum 	1	1926
M36	uVSG	-	Clostridium_symbiosum 	1	145
M36	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M36	uVSG	-	Peptidiphaga_gingivicola 	1	2
M36	uVSG	-	Bifidobacterium_asteroides 	1	14
M37	uVSG	-	Firmicutes_bacterium_AF16_15 	1	1338
M37	uVSG	-	Ignatzschineria_larvae 	1	1
M38	uVSG	-	GGB9758_SGB15368 	468	3034
M38	uVSG	-	Bacteroides_uniformis 	1	6758
M38	uVSG	-	Dialister_hominis 	1	333
M39	uVSG	-	Escherichia_coli 	3	18595
M40	kVSG	NC_0419961_Serratia_phage_CHI14	Alloprevotella_sp_Lung230 	1	3
M40	kVSG	NC_0419961_Serratia_phage_CHI14	Eubacterium_sp_AF22_9 	1	217
M41	uVSG	-	Veillonella_parvula 	73	767
M41	uVSG	-	Veillonella_atypica 	8	194
M41	uVSG	-	Veillonella_dispar 	6	235
M41	uVSG	-	Veillonella_rogosae 	3	74
M41	uVSG	-	Lachnospiraceae_bacterium 	1	3222
M41	uVSG	-	Turicibacter_sanguinis 	1	254
M41	uVSG	-	Clostridia_bacterium 	1	13613
M41	uVSG	-	GGB1331_SGB1788 	1	3
M41	uVSG	-	Neisseria_meningitidis 	1	2171
M41	uVSG	-	Capnocytophaga_canis 	1	10
M43	kVSG	NC_0019541_Enterobacteria_phage_If1	Clostridium_symbiosum 	1	145
M43	kVSG	NC_0019541_Enterobacteria_phage_If1	Gilliamella_sp_Pas_s25 	1	1
M44	uVSG	-	Blautia_wexlerae 	16	2518
M44	uVSG	-	Lachnospiraceae_bacterium 	6	3222
M44	uVSG	-	Firmicutes_bacterium_AF16_15 	5	1338
M44	uVSG	-	Ruminococcus_lactaris 	5	696
M44	uVSG	-	Coprococcus_catus 	3	453
M44	uVSG	-	GGB3486_SGB4658 	1	107
M44	uVSG	-	Dorea_formicigenerans 	1	166
M44	uVSG	-	Dorea_longicatena 	1	1103
M44	uVSG	-	Anaerobutyricum_hallii 	1	960
M44	uVSG	-	Enterocloster_clostridioformis 	1	158
M44	uVSG	-	Pelotomaculum_schinkii 	1	2
M46	uVSG	-	Flavonifractor_plautii 	6	696
M46	uVSG	-	Faecalibacterium_prausnitzii 	2	9456
M46	uVSG	-	Clostridium_phoceensis 	2	163
M46	uVSG	-	Lachnospiraceae_bacterium 	2	3222
M46	uVSG	-	Dysosmobacter_welbionis 	1	598
M46	uVSG	-	GGB9694_SGB15203 	1	108
M46	uVSG	-	GGB9694_SGB15204 	1	31
M46	uVSG	-	GGB9644_SGB15121 	1	177
M46	uVSG	-	Clostridia_unclassified_SGB15404 	1	1
M46	uVSG	-	GGB9695_SGB15211 	1	13
M46	uVSG	-	Oscillibacter_sp_ER4 	1	2741
M47	uVSG	-	Campylobacteraceae_bacterium 	1	75
M47	uVSG	-	Ruthenibacterium_lactatiformans 	1	958
M47	uVSG	-	Campylobacter_SGB19294 	1	1
M47	uVSG	-	Campylobacter_SGB19297 	1	1
M47	uVSG	-	Campylobacter_SGB69426 	1	1
M48	uVSG	-	Mogibacterium_diversum 	9	69
M48	uVSG	-	GGB3385_SGB4472 	1	5
M48	uVSG	-	Phascolarctobacterium_succinatutens 	1	1104
M49	uVSG	-	Clostridia_bacterium 	2	13613
M49	uVSG	-	Ruminococcaceae_unclassified_SGB15256 	1	225
M49	uVSG	-	GGB9537_SGB14940 	1	2
M50	uVSG	-	Klebsiella_pneumoniae 	461	7034
M50	uVSG	-	Klebsiella_oxytoca 	9	157
M50	uVSG	-	Klebsiella_michiganensis 	8	285
