"species","core_3of3","core_2of3","group"
"s__Parasutterella_SGB9260",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__Bacteroides_stercoris",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Blautia_caecimuris",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Blautia_glucerasea",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Lacrimispora_amygdalina",0.307692307692308,0.538461538461538,"all pts w/ 3 samples"
"s__Dorea_sp_AF36_15AT",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Blautia_SGB4815",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Ruminococcus_bicirculans",0.307692307692308,0.615384615384615,"all pts w/ 3 samples"
"s__Phocaeicola_plebeius",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Faecalibacterium_sp_HTFF",0.307692307692308,0.461538461538462,"all pts w/ 3 samples"
"s__Oscillibacter_sp_ER4",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__Lachnospira_pectinoschiza",0.307692307692308,0.692307692307692,"all pts w/ 3 samples"
"s__GGB9635_SGB15106",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__Faecalibacterium_SGB15346",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Barnesiella_intestinihominis",0.307692307692308,0.461538461538462,"all pts w/ 3 samples"
"s__Gemmiger_SGB15295",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__GGB13489_SGB15224",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__GGB9708_SGB15234",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Kineothrix_SGB4886",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Bifidobacterium_longum",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__Romboutsia_timonensis",0.307692307692308,0.461538461538462,"all pts w/ 3 samples"
"s__GGB9699_SGB15216",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__Alistipes_senegalensis",0.307692307692308,0.307692307692308,"all pts w/ 3 samples"
"s__Adlercreutzia_equolifaciens",0.307692307692308,0.615384615384615,"all pts w/ 3 samples"
"s__Methanobrevibacter_smithii",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Bacteroides_intestinalis",0.307692307692308,0.384615384615385,"all pts w/ 3 samples"
"s__Phocaeicola_coprocola",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Bifidobacterium_adolescentis",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Clostridium_sp_AT4",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Clostridium_SGB4750",0.230769230769231,0.538461538461538,"all pts w/ 3 samples"
"s__Roseburia_intestinalis",0.230769230769231,0.692307692307692,"all pts w/ 3 samples"
"s__Clostridiaceae_bacterium_Marseille_Q3526",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__GGB3550_SGB4746",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Mediterraneibacter_glycyrrhizinilyticus",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Bacteroides_salyersiae",0.230769230769231,0.230769230769231,"all pts w/ 3 samples"
"s__Alistipes_finegoldii",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Parasutterella_excrementihominis",0.230769230769231,0.384615384615385,"all pts w/ 3 samples"
"s__Phocaeicola_dorei",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
"s__Clostridium_sp_AM22_11AC",0.230769230769231,0.461538461538462,"all pts w/ 3 samples"
"s__Eubacterium_ramulus",0.230769230769231,0.307692307692308,"all pts w/ 3 samples"
